interval,species,situation,sequence
9.973719000000001,WSF,alone,1
17.635715,WSF,alone,1
7.0007839999999995,WSF,alone,1
4.073274,WSF,alone,1
0.653641999999998,WSF,alone,1
0.65869,WSF,alone,1
4.189366000000001,WSF,alone,1
0.612000000000009,WSF,alone,1
0.5754069999999979,WSF,alone,1
0.603167999999997,WSF,alone,1
0.603167999999997,WSF,alone,1
0.623356999999999,WSF,alone,1
0.5779310000000071,WSF,alone,1
0.561526000000001,WSF,alone,1
0.62714299999999,WSF,alone,1
0.35458200000000795,WSF,alone,1
0.559003000000004,WSF,alone,1
0.600643999999988,WSF,alone,1
5.06888000000001,WSF,alone,1
0.5930730000000041,WSF,alone,1
0.514837,WSF,alone,1
0.422090999999995,WSF,alone,1
0.412627999999998,WSF,alone,1
0.35142700000000104,WSF,alone,1
6.8960490000000005,WSF,alone,1
10.911278999999999,WSF,alone,1
26.915413,WSF,alone,1
21.302672,WSF,alone,1
16.455248,WSF,alone,1
0.6523799999999941,WSF,alone,1
9.59957900000001,WSF,alone,1
37.296711,WSF,alone,1
0.323035999999973,WSF,alone,1
26.475023999999998,WSF,alone,1
5.89287300000001,WSF,alone,1
5.07771299999999,WSF,alone,1
3.9609699999999997,WSF,alone,1
1.27699899999999,WSF,alone,1
3.67326599999998,WSF,alone,1
1.783005,WSF,alone,1
0.864372000000003,WSF,alone,1
2.3230790000000097,WSF,alone,1
2.193107,WSF,alone,1
0.837873999999999,WSF,alone,1
0.7886599999999928,WSF,alone,1
0.865634,WSF,alone,1
0.271299999999997,WSF,alone,1
4.46949800000004,WSF,alone,1
0.884560999999962,WSF,alone,1
1.59625,WSF,alone,1
0.72115100000002,WSF,alone,1
0.6403930000000171,WSF,alone,1
0.605690999999979,WSF,alone,1
0.612001000000021,WSF,alone,1
0.629665999999986,WSF,alone,1
0.6189410000000071,WSF,alone,1
0.6214650000000009,WSF,alone,1
0.6448090000000091,WSF,alone,1
1.7729089999999699,WSF,alone,1
0.724306000000013,WSF,alone,1
3.1603220000000096,WSF,alone,1
0.771624999999972,WSF,alone,1
0.5754070000000411,WSF,alone,1
0.574144999999987,WSF,alone,1
0.142589999999984,WSF,alone,1
0.46436299999999203,WSF,alone,1
3.0612659999999905,WSF,alone,1
0.7495430000000172,WSF,alone,1
0.7810890000000091,WSF,alone,1
0.7867679999999949,WSF,alone,1
23.530480999999998,WSF,alone,1
13.275998999999999,WSF,alone,1
9.477808999999981,WSF,alone,1
8.20207199999999,WSF,alone,1
0.909799000000021,WSF,alone,1
9.552257999999991,WSF,alone,1
5.31115699999998,WSF,alone,1
0.9855110000000309,WSF,alone,1
5.263205999999969,WSF,alone,1
0.6435470000000121,WSF,alone,1
0.959011000000032,WSF,alone,1
12.901859,WSF,alone,1
15.460904000000001,WSF,alone,1
0.389913999999976,WSF,alone,1
,,,
0.54890800000004,WSF,alone,2
17.226873,WSF,alone,2
7.42350600000003,WSF,alone,2
5.2897049999999695,WSF,alone,2
0.480768000000012,WSF,alone,2
3.4057520000000094,WSF,alone,2
4.840484,WSF,alone,2
3.8436169999999903,WSF,alone,2
0.719258000000025,WSF,alone,2
4.528805999999969,WSF,alone,2
0.517360999999994,WSF,alone,2
0.616417000000013,WSF,alone,2
0.5873950000000151,WSF,alone,2
0.600643999999988,WSF,alone,2
0.6561659999999849,WSF,alone,2
0.367831000000024,WSF,alone,2
15.772583,WSF,alone,2
0.30221500000004703,WSF,alone,2
14.7555269999999,WSF,alone,2
4.48337800000002,WSF,alone,2
13.773171,WSF,alone,2
30.292142,WSF,alone,2
,,,
4.4489,WSF,alone,3
3.57168,WSF,alone,3
2.853495,WSF,alone,3
0.531801999999999,WSF,alone,3
3.23234,WSF,alone,3
