,ioi,datafile,species,individual,coda,datafile_num
63,0.530958333333331,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
64,0.489183333333337,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
65,0.4614583333333329,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
66,0.462616666666662,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
67,0.468450000000004,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
68,0.465483333333331,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
69,0.7553416666666658,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
70,0.594299999999997,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
71,0.533675000000002,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
72,0.51124166666667,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
73,0.47007499999999397,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
74,0.4488416666666671,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
75,0.45448333333333596,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
76,0.456775,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
77,0.46223333333333,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
78,0.6036500000000021,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
79,0.592300000000002,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
80,0.5584916666666689,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
81,0.5334416666666609,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
82,0.5141583333333339,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
83,0.483133333333335,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
84,0.466908333333336,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
85,0.460858333333334,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
86,0.458275,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
87,0.46636666666666604,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
88,0.46207499999999896,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
89,0.6824166666666679,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
90,0.585241666666661,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
91,0.508283333333338,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
92,0.472766666666665,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
93,0.45825,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
94,0.462291666666665,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
95,0.49244166666666406,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
96,0.6352416666666729,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
97,0.596091666666666,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
98,0.5455083333333309,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
99,0.516725000000001,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
100,0.497591666666665,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
101,0.47395000000000204,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
102,0.608474999999999,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
103,0.606408333333334,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
104,0.586966666666669,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
105,0.487549999999999,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
106,0.534574999999997,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
107,0.5005833333333379,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
108,0.490524999999998,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
109,0.454241666666668,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
110,0.439033333333327,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
111,0.43410000000000104,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
112,0.432675000000003,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
113,0.4272416666666671,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
114,0.43600833333333394,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
115,0.4287833333333279,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
116,0.442100000000003,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
117,0.447533333333332,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
118,0.44347499999999895,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
119,0.633791666666674,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
120,0.5757249999999909,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
121,0.491591666666665,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
122,0.441258333333337,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
123,0.431466666666665,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
124,0.42901666666666904,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
125,0.43018333333333203,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
126,0.404825000000002,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
127,0.0302499999999952,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
128,0.435316666666665,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
129,0.432041666666677,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
130,0.421883333333327,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
131,0.45598333333333596,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
132,0.525483333333327,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
133,0.675816666666677,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
134,0.644574999999989,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
135,0.673233333333343,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
136,0.7465416666666579,sw114a002_coda_01.xls,Physeter macrocephalus,sw114a,1,002
137,0.5115666666666671,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
138,0.45485,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
139,0.446225,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
140,0.437775,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
141,0.4310166666666671,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
142,0.4330416666666671,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
143,0.4374333333333329,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
144,0.4314166666666671,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
145,0.4322,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
146,0.44720833333333293,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
147,0.5232083333333339,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
148,0.46724166666666606,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
149,0.445775,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
150,0.4358083333333329,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
151,0.43296666666666606,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
152,0.432300000000001,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
153,0.43674166666666603,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
154,0.4329666666666671,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
155,0.43111666666666604,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
156,0.4246,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
157,0.42312500000000103,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
158,0.4369666666666671,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
159,0.45100000000000107,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
160,0.465916666666665,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
161,0.44050833333333395,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
162,0.43180833333333396,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
163,0.44197499999999895,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
164,0.430275,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
165,0.42537500000000106,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
166,0.4291,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
167,0.42985,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
168,0.42884999999999895,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
169,0.42040833333333394,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
170,0.43169166666666603,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
171,0.439241666666668,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
172,0.42830833333333396,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
173,0.4356916666666671,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
174,0.432291666666664,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
175,0.428633333333334,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
176,0.418733333333332,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
177,0.417416666666668,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
178,0.41721666666666796,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
179,0.41995,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
180,0.414866666666665,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
181,0.425075,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
182,0.42259166666666903,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
183,0.4222833333333329,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
184,0.4156666666666671,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
185,0.415641666666666,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
186,0.41724999999999896,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
187,0.41993333333333294,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
188,0.43890833333333396,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
189,0.42626666666666707,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
190,0.42174999999999896,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
191,0.414883333333336,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
192,0.42460833333333203,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
193,0.409191666666668,sw114a002_coda_02.xls,Physeter macrocephalus,sw114a,2,002
194,0.4165,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
195,0.4778,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
196,0.440125,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
197,0.4303083333333329,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
198,0.44005,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
199,0.4339,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
200,0.4342333333333329,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
201,0.44670833333333293,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
202,0.441316666666666,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
203,0.4332416666666671,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
204,0.43055,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
205,0.4301916666666671,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
206,0.4249,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
207,0.451525,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
208,0.449175,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
209,0.459375,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
210,0.4681,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
211,0.46435833333333393,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
212,0.449883333333332,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
213,0.455416666666666,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
214,0.463675,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
215,0.467716666666668,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
216,0.48347499999999893,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
217,0.470166666666668,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
218,0.477725,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
219,0.472691666666668,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
220,0.45689166666666603,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
221,0.4617,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
222,0.45662500000000106,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
223,0.45435,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
224,0.45854999999999896,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
225,0.4579,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
226,0.46815,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
227,0.45745,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
228,0.4477416666666671,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
229,0.4502416666666671,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
230,0.46638333333333293,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
231,0.485383333333335,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
232,0.468708333333332,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
233,0.45282500000000103,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
234,0.447066666666665,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
235,0.455308333333335,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
236,0.48552499999999893,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
237,0.46574166666666605,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
238,0.46476666666666905,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
239,0.46044999999999797,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
240,0.470491666666668,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
241,0.47429166666666606,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
242,0.455008333333335,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
243,0.45378333333333,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
244,0.510966666666668,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
245,0.4872416666666661,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
246,0.45717499999999894,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
247,0.45279166666666604,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
248,0.44952500000000106,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
249,0.461108333333332,sw114a002_coda_03.xls,Physeter macrocephalus,sw114a,3,002
