Piece,Label SD,SD,Clave_?,Section,Clave,Bass ,Guitar,Tres,Bongo,Bell,Cajon,Conga,Trumpet,Cl_Dens,Bs_Dens,Gt_Dens,Tr_Dens,Bn_Dens,Bl_Dens,Cj_Dens,Cn_Dens,Tm_Dens,Cl_Peak,Bs_Peak,Gt_Peak,Tr_Peak,Bn_Peak,Bl_Peak,Cj_Peak,Cn_Peak,Tm_Peak
Song_4,1|1,1,1,Son,,9.528039,,9.523104,,,,9.532856,,,2.5,,5,,,,5.5,,,0.560307,,0.250901,,,,0.59354,
Song_4,1|2,2,N,Son,,,9.693977,,,,,,,,,3,,,,,,,,,0.29826,,,,,,
Song_4,1|3,3,N,Son,,9.847294,,,,,,9.871232,,,3,,,,,,4.5,,,0.835841,,,,,,0.132856,
Song_4,1|4,4,2,Son,,,10.040686,10.037557,,,,,,,,3,4.5,,,,,,,,0.307338,0.137777,,,,,
Song_4,1|5,5,N,Son,,10.215806,,10.214179,,,,,,,3.5,,5,,,,,,,0.794233,,0.112408,,,,,
Song_4,1|6,6,N,Son,,,,10.39681,,,,10.372053,,,,,5,,,,4.5,,,,,0.135018,,,,0.21745,
Song_4,1|7,7,3,Son,,10.53277,10.524541,,,,,,,,3.5,3,,,,,,,,0.758732,0.546659,,,,,,
Song_4,1|8,8,N,Son,,,10.699669,10.699682,,,,10.71756,,,,3,5,,,,4.5,,,,0.11616,0.230298,,,,0.433115,
Song_4,1|9,9,N,Son,,,10.881909,,,,,,,,,3.5,,,,,,,,,0.386297,,,,,,
Song_4,1|10,10,N,Son,,,,11.036389,,,,11.048864,,,,,4.5,,,,5,,,,,0.076782,,,,0.068115,
Song_4,1|11,11,4,Son,,,11.186078,,,,,11.20573,,,,3.5,,,,,5,,,,0.285144,,,,,0.104041,
Song_4,1|12,12,N,Son,,11.376319,11.379756,11.362183,,,,11.382703,,,2.5,3.5,4.5,,,,5.5,,,0.845975,0.284536,0.080294,,,,0.053425,
Song_4,1|13,13,5,Son,,11.597599,,11.54391,,,,11.556327,,,2.5,,4,,,,5.5,,,0.284921,,0.106465,,,,0.028716,
Song_4,1|14,14,N,Son,,,,11.743835,,,,11.723855,,,,,4.5,,,,6,,,,,0.071145,,,,0.278416,
Song_4,1|15,15,N,Son,,11.871834,11.880611,,,,,11.883156,,,2.5,3.5,,,,,6,,,0.585393,0.671994,,,,,0.550615,
Song_4,1|16,16,N,Son,,,12.058264,12.02135,,,,,,,,3.5,4.5,,,,,,,,0.157034,0.21888,,,,,
Song_4,2|1,1,1,Son,,,12.234367,,,,,,,,,4,,,,,,,,,0.189887,,,,,,
Song_4,2|2,2,N,Son,,,,12.391995,,,,12.402215,,,,,4,,,,5,,,,,0.269465,,,,0.048961,
Song_4,2|3,3,N,Son,,,,,,,,12.561752,,,,,,,,,5,,,,,,,,,0.221514,
Song_4,2|4,4,2,Son,,12.727725,12.721215,12.717104,,,,,,,2,3.5,3.5,,,,,,,0.444533,0.365381,0.257304,,,,,
Song_4,2|5,5,N,Son,,12.939419,12.916973,12.930121,,,,,,,2.5,3.5,4,,,,,,,0.43843,0.210723,0.227375,,,,,
Song_4,2|6,6,N,Son,,,,,,,,13.079863,,,,,,,,,5,,,,,,,,,0.127295,
Song_4,2|7,7,3,Son,,13.224257,13.231281,13.208733,,,,,,,3,3.5,4,,,,,,,0.499645,0.3504,0.09527,,,,,
Song_4,2|8,8,N,Son,,,13.419131,13.417557,13.44229,,,13.411593,,,,3.5,4,2.5,,,5,,,,0.316474,0.12862,0.220882,,,0.562399,
Song_4,2|9,9,N,Son,,,13.596823,,,,,,,,,4,,,,,,,,,0.286178,,,,,,
Song_4,2|10,10,N,Son,,,,13.758611,13.7715,,,13.743271,,,,,3.5,2.5,,,4.5,,,,,0.242905,0.034539,,,0.02924,
Song_4,2|11,11,4,Son,,,13.90733,,13.93979,,,13.906064,,,,4,,2.5,,,4.5,,,,0.370636,,0.085994,,,0.165053,
Song_4,2|12,12,N,Son,,14.056275,14.088596,14.081547,,,,,,,2,4,3.5,,,,,,,0.757114,0.279742,0.229605,,,,,
Song_4,2|13,13,5,Son,,14.300504,14.265891,,,,,,,,2.5,4,,,,,,,,0.717408,0.189928,,,,,,
Song_4,2|14,14,N,Son,,,,,14.462016,,,14.423964,,,,,,4,,,5,,,,,,0.105999,,,0.355211,
Song_4,2|15,15,N,Son,,14.593714,14.587087,14.56913,14.621823,,,14.583531,,,3,4.5,3.5,4.5,,,5,,,0.596073,0.430616,0.113257,0.20077,,,0.507218,
Song_4,2|16,16,N,Son,,,,14.73884,14.776855,,,,,,,,3.5,5,,,,,,,,0.173502,0.236599,,,,
Song_4,3|1,1,1,Son,,14.952994,14.939863,14.908054,14.945889,,,,,,2.5,4,4,5.5,,,,,,0.506247,0.349902,0.278279,0.227854,,,,
Song_4,3|2,2,N,Son,,,,,,,,15.107012,,,,,,,,,4.5,,,,,,,,,0.059352,
Song_4,3|3,3,N,Son,,15.236953,15.254083,,15.248133,,,15.267279,,,2.5,4,,5.5,,,4.5,,,0.69669,0.378402,,0.289144,,,0.117303,
Song_4,3|4,4,2,Son,,,15.439313,15.428559,15.428856,,,,,,,4,3.5,6,,,,,,,0.275446,0.112222,0.054676,,,,
Song_4,3|5,5,N,Son,,15.61097,15.620568,15.608521,15.620765,,,,,,3,4,4,6,,,,,,0.648068,0.191126,0.111639,0.086405,,,,
Song_4,3|6,6,N,Son,,,,15.793892,,,,15.772261,,,,,4,,,,5,,,,,0.100556,,,,0.104059,
Song_4,3|7,7,3,Son,,15.902523,15.926397,,15.964161,,,15.936938,,,3.5,4,,6,,,5,,,0.504061,0.430861,,0.038932,,,0.058695,
Song_4,3|8,8,N,Son,,,16.110357,16.096076,16.115114,,,16.110089,,,,4,4,6,,,5,,,,0.283708,0.231567,0.258745,,,0.570974,
Song_4,3|9,9,N,Son,,,16.290578,,16.292532,,,,,,,4,,6.5,,,,,,,0.175395,,0.059856,,,,
Song_4,3|10,10,N,Son,,,,16.425655,16.457584,,,16.452275,,,,,4.5,6.5,,,5,,,,,0.089239,0.041802,,,0.061034,
Song_4,3|11,11,4,Son,,,16.603293,,16.622159,,,16.610354,,,,4,,5.5,,,5,,,,0.354246,,0.081944,,,0.178364,
Song_4,3|12,12,N,Son,,16.777924,16.788229,16.759687,,,,,,,2.5,4.5,4,,,,,,,0.675004,0.232382,0.085491,,,,,
Song_4,3|13,13,5,Son,,,16.965275,16.944449,,,,,,,,4.5,4,,,,,,,,0.189431,0.140735,,,,,
Song_4,3|14,14,N,Son,,,,17.145838,,,,17.125594,,,,,4.5,,,,5.5,,,,,0.107314,,,,0.189283,
Song_4,3|15,15,N,Son,,17.272066,17.300281,,17.297272,,,17.290078,,,2,4.5,,6,,,5.5,,,0.656505,0.539479,,0.161927,,,0.645388,
Song_4,3|16,16,N,Son,,,,17.428938,17.475696,,,,,,,,4,6,,,,,,,,0.221493,0.106047,,,,
Song_4,4|1,1,1,Son,,,17.650692,,,,,,,,,4,,,,,,,,,0.274071,,,,,,
Song_4,4|2,2,N,Son,,,,17.803213,17.811795,,,17.817581,,,,,3.5,6,,,5,,,,,0.258031,0.263571,,,0.074904,
Song_4,4|3,3,N,Son,,,17.976337,,,,,17.972426,,,,4,,,,,5,,,,0.397017,,,,,0.181411,
Song_4,4|4,4,2,Son,,18.119885,18.166998,18.125,18.121406,,,,,,1.5,4,3.5,6,,,,,,0.462516,0.137657,0.272601,0.047411,,,,
