Tier,Start Time,End Time,Duration,Annotation
Son/Montuno,4.2,9.5,5.3,Intro
Son/Montuno,9.5,190.8,181.3,Son
Son/Montuno,190.8,313.4,122.6,Montuno
Verse/Chorus,20.2,47.4,27.2,Chorus
Verse/Chorus,47.4,102.1,54.7,Verse 1
Verse/Chorus,102.1,129.699,27.599,Chrous
Verse/Chorus,129.699,163,33.301,Verse 2
Verse/Chorus,163,190.8,27.8,Chorus
Verse/Chorus,190.8,302.8,112,Chorus with improvisations
Verse/Chorus,302.8,313.4,10.6,Trumpet Solo
