Bass,Bass peak,Guitar,Guitar peak,Tres,Tres peak,Bongos,Bongos peak,Bell,Bell peak,Cajon,Cajon peak,Conga,Conga peak,Trumpet,Trumpet peak
20.328998,0.426394,15.926397,0.430861,13.758611,0.242905,15.964161,0.038932,201.057343,0.090089,226.790916,0.88686,12.402215,0.048961,71.791445,0.201614
20.796704,0.603419,16.110357,0.283708,14.081547,0.229605,16.115114,0.258745,201.23605,0.457702,229.076253,0.824297,12.561752,0.221514,72.647203,0.196642
20.993267,0.378797,16.290578,0.175395,14.56913,0.113257,16.292532,0.059856,201.565202,0.098209,230.498033,0.792496,12.744517,0.019582,75.038884,0.183979
21.30335,0.460034,16.603293,0.354246,14.73884,0.173502,16.457584,0.041802,201.754119,0.116407,231.856695,0.701392,12.915389,0.015203,75.401847,0.227378
22.154652,0.57453,16.788229,0.232382,14.908054,0.278279,16.622159,0.081944,201.937735,0.627054,233.284084,0.760861,13.079863,0.127295,80.150564,0.224203
22.670373,0.541945,16.965275,0.189431,15.214168,0.355264,16.787528,0.076393,202.275843,0.053909,234.66267,0.805655,13.23721,0.01669,80.659018,0.242169
23.343727,0.430083,17.300281,0.539479,15.428559,0.112222,16.972085,0.099956,202.40802,0.056396,234.77846,0.015183,13.411593,0.562399,82.292026,0.17196
23.736128,0.3787,17.650692,0.274071,15.608521,0.111639,17.132883,0.030529,202.640218,0.606834,236.073498,0.800517,13.743271,0.02924,82.69018,0.182926
24.027462,0.395225,17.976337,0.397017,15.793892,0.100556,17.297272,0.161927,202.964288,0.107028,237.4738,0.763864,13.906064,0.165053,82.79166,0.17309
24.886695,0.67717,18.166998,0.137657,16.096076,0.231567,17.475696,0.106047,203.152598,0.12588,238.869398,0.69677,14.09421,0.057775,85.480466,0.203169
25.125178,0.701399,18.467905,0.206684,16.425655,0.089239,17.64661,0.017767,203.33012,0.546645,240.252908,0.642092,14.423964,0.355211,85.829159,0.161529
25.399594,0.429899,18.650946,0.447231,16.759687,0.085491,17.811795,0.263571,203.66143,0.039668,241.67235,0.73143,14.583531,0.507218,85.990253,0.267512
25.769865,0.447461,18.993391,0.327502,16.944449,0.140735,17.975446,0.026636,203.847343,0.094186,243.020902,0.486382,14.95189,0.023823,86.430683,0.150467
26.077799,0.613874,19.333124,0.345897,17.145838,0.107314,18.121406,0.047411,204.02727,0.478644,246.718432,0.731853,15.107012,0.059352,86.658391,0.313543
26.433394,0.737561,19.645992,0.245567,17.428938,0.221493,18.330522,0.334808,204.362669,0.10929,248.620831,0.802197,15.267279,0.117303,86.897032,0.226658
26.733573,0.661497,19.975674,0.441257,17.803213,0.258031,18.489418,0.062728,204.557766,0.086562,250.066124,0.771305,15.447883,0.026184,88.929712,0.372759
27.574032,0.636067,20.178637,0.231884,18.125,0.272601,18.64971,0.038879,204.73256,0.580267,251.471545,0.683153,15.611855,0.016936,89.23471,0.218744
28.067515,0.501436,20.355111,0.109565,18.329521,0.223924,18.830651,0.374333,205.05965,0.080752,252.891593,0.591953,15.772261,0.104059,89.671364,0.321064
28.951376,0.40064,20.659389,0.257715,18.637663,0.150033,19.149812,0.062274,205.237543,0.064993,254.291068,0.658369,15.936938,0.058695,89.954385,0.20492
29.164312,0.373317,20.840219,0.29445,18.828679,0.257646,19.325298,0.090123,205.449565,0.577297,255.702848,0.797025,16.110089,0.570974,91.506923,0.154334
29.443257,0.439637,21.33898,0.479498,19.14991,0.252322,19.496577,0.054949,205.626496,0.018151,257.607491,0.916087,16.452275,0.061034,91.659675,0.246404
30.258088,0.623988,21.529919,0.290711,19.479961,0.247404,19.642952,0.018795,205.77531,0.112408,263.438642,0.766643,16.610354,0.178364,91.92235,0.23849
30.462985,0.509292,21.999532,0.207585,19.81475,0.060692,19.806146,0.390987,205.96737,0.089884,265.894363,0.709623,16.796198,0.124084,92.149996,0.486181
30.770254,0.390361,22.185692,0.300025,20.002574,0.099118,19.977537,0.63214,206.143562,0.506933,269.022735,0.836914,16.964159,0.035701,92.369701,0.346745
31.137685,0.432372,22.676064,0.642345,20.147062,0.127713,20.141541,0.023464,206.31076,0.02781,271.43296,1.000075,17.125594,0.189283,93.402467,0.575003
31.604601,0.39208,22.851623,0.29431,20.346471,0.115234,20.234703,0.096871,206.464895,0.045399,274.60097,0.383766,17.290078,0.645388,93.57331,0.358911
32.114573,0.539199,23.196602,0.364841,20.610054,0.067306,20.321489,0.481849,206.641741,0.087807,277.07225,0.616584,17.480711,0.027482,93.757248,0.187649
32.93833,0.627745,23.545235,0.238883,20.766873,0.135898,20.670211,0.048392,206.832614,0.412702,282.182015,0.522708,17.817581,0.074904,94.286335,0.194632
33.478855,0.511206,23.74134,0.232784,21.004722,0.146023,20.841216,0.08983,207.02922,0.019813,283.583391,0.600121,17.972426,0.181411,94.797971,0.232819
34.18255,0.342484,24.040099,0.26047,21.263616,0.061415,21.031831,0.05625,207.17231,0.109859,285.02856,0.759258,18.154818,0.036176,94.963555,0.542397
34.534545,0.395262,24.241612,0.276658,21.499819,0.180366,21.210662,0.019182,207.362028,0.125081,286.394775,0.775379,18.336654,0.053623,95.111017,0.448965
34.838479,0.357184,24.731986,0.363078,21.799514,0.154336,21.362836,0.051709,207.548149,0.465816,286.509798,0.020094,18.478618,0.289571,95.266323,0.339034
35.706953,0.619331,24.913631,0.391302,22.143838,0.152014,21.521442,0.31899,207.875384,0.075321,287.816358,0.758012,18.822654,0.527819,95.431931,0.687478
35.940058,0.586137,25.389171,0.517829,22.50345,0.151083,21.693188,0.031247,208.057223,0.039067,287.937192,0.015305,19.142546,0.480166,95.623336,0.587023
36.206824,0.388572,25.56734,0.239806,22.853239,0.132345,21.859299,0.036064,208.263277,0.423116,289.194115,0.309196,19.31334,0.415512,95.819852,0.436025
36.585463,0.431778,25.751959,0.384189,23.189838,0.093154,22.007283,0.103504,208.572884,0.105999,290.592778,0.626931,19.669668,0.063996,96.071282,0.516443
36.904892,0.716637,26.065889,0.358658,23.47105,0.108408,22.190186,0.079646,208.764946,0.100325,292.024876,0.661578,19.815653,0.248423,96.251664,0.171812
37.269004,0.634491,26.414571,0.380001,23.72221,0.125259,22.370863,0.112814,208.944364,0.424723,293.398452,0.583406,19.975785,0.440909,96.511721,0.379989
37.55377,0.535718,26.725297,0.492591,23.992806,0.079126,22.528074,0.0749,209.434881,0.058665,294.853745,0.646634,20.137455,0.062085,96.786853,0.337752
38.413352,0.588851,26.922423,0.19598,24.218249,0.133523,22.706756,0.12396,209.656349,0.434552,296.260115,0.652502,20.225234,0.380996,96.992155,0.336008
38.93578,0.526886,27.097871,0.215377,24.547456,0.142682,22.878239,0.168821,209.965243,0.1021,297.668171,0.658655,20.320348,0.584127,97.218013,0.297434
39.599176,0.403766,27.411681,0.395181,24.886075,0.269454,23.209022,0.441984,210.158466,0.093173,299.085032,0.653838,20.661459,0.192407,97.474347,0.400974
39.952114,0.4619,27.77321,0.276072,25.217937,0.289224,23.365993,0.026534,210.335721,0.51032,302.758676,0.633947,20.845958,0.061544,98.899278,0.24244
40.252408,0.400592,28.089451,0.28716,25.543076,0.363518,23.537898,0.262129,210.664623,0.062158,304.697675,0.606288,21.009446,0.020735,99.033959,0.577479
41.114385,0.708619,28.2655,0.254033,25.865787,0.053602,23.732342,0.639991,210.826908,0.057571,306.159036,0.625108,21.173313,0.093869,99.339565,0.230771
41.335329,0.583875,28.761767,0.333438,26.056085,0.063441,24.243638,0.243839,211.034957,0.556448,307.540097,0.585523,21.338942,0.018925,101.795891,0.192414
41.623684,0.456725,29.113011,0.319685,26.234861,0.266474,24.581332,0.062544,211.241917,0.018587,308.952611,0.775582,21.519264,0.558122,105.615162,0.15912
41.969086,0.328366,29.430328,0.410709,26.441981,0.199577,24.746969,0.069547,211.364648,0.098321,310.381503,0.843706,21.862639,0.133739,110.579329,0.19546
42.404653,0.385912,29.788835,0.233789,26.709984,0.090774,24.921024,0.041902,211.555983,0.115473,310.49686,0.021463,22.021889,0.162801,111.115391,0.190198
42.926631,0.521029,30.274092,0.241228,26.902907,0.241049,25.240996,0.128393,211.740333,0.516311,312.770344,0.717679,22.201755,0.092927,118.089464,0.150916
43.777718,0.567572,30.458392,0.378476,27.234573,0.161462,25.320029,0.11784,212.062691,0.025138,313.404987,0.769529,22.362994,0.034093,118.32758,0.157343
44.316478,0.558013,30.798631,0.744032,27.579275,0.284288,25.396552,0.264306,212.231774,0.104181,,,22.517563,0.311329,118.555865,0.169647
45.016548,0.407397,30.976722,0.181204,27.899989,0.06598,25.579338,0.262682,212.435581,0.497094,,,22.684468,0.617511,119.440666,0.159515
45.358595,0.521073,31.163049,0.390991,28.03895,0.103351,25.839131,0.165954,212.598369,0.017269,,,23.216629,0.066645,119.691079,0.162152
45.680969,0.392923,31.481959,0.353886,28.222518,0.379343,25.96882,0.423924,212.762736,0.100447,,,23.367966,0.145131,119.921668,0.164836
46.536374,0.608773,31.67173,0.227112,28.620567,0.233305,26.07759,0.2425,212.947537,0.097506,,,23.544661,0.032426,121.608178,0.156363
46.744122,0.469406,32.140969,0.405996,28.933517,0.362323,26.260925,0.743198,213.133331,0.510519,,,23.73844,0.126352,121.78371,0.186667
47.038042,0.400788,32.319227,0.224371,29.134851,0.456372,26.421197,0.730767,213.453569,0.056138,,,23.881331,0.044831,124.106356,0.2197
47.406443,0.456273,32.502899,0.320728,29.410468,0.153119,26.599638,0.064628,213.635186,0.059822,,,24.052378,0.020854,124.225034,0.230518
47.735527,0.643822,32.817626,0.198625,29.578368,0.213219,26.745711,0.065249,213.832564,0.54608,,,24.236732,0.603175,131.141036,0.151061
48.098978,0.68869,33.000444,0.251848,29.940322,0.311179,26.913904,0.292995,214.160255,0.095521,,,24.585244,0.065161,131.491563,0.199583
48.600036,0.406288,33.19314,0.218761,30.256534,0.3167,27.094295,0.254701,214.3529,0.099691,,,24.738103,0.172654,140.680906,0.162708
48.786026,0.476683,33.504582,0.503032,30.588298,0.116989,27.255332,0.050162,214.534304,0.491406,,,24.921651,0.060466,141.188967,0.159963
49.068037,0.623901,33.868761,0.366515,30.75794,0.062129,27.415636,0.041016,214.853653,0.030001,,,25.246071,0.222398,146.223544,0.151886
49.608958,0.376397,34.204923,0.204419,30.914369,0.126621,27.58395,0.038528,215.045282,0.071289,,,25.412903,0.512226,146.555873,0.197778
49.829661,0.453562,34.382377,0.214489,31.11425,0.111684,27.767621,0.092399,215.226224,0.488604,,,25.846616,0.031694,156.798671,0.152859
50.868319,0.574247,34.575351,0.175135,31.406422,0.10308,27.933532,0.020091,215.546349,0.114006,,,25.976178,0.100053,157.058204,0.168658
51.181563,0.419932,34.892211,0.385032,31.597163,0.091919,28.076486,0.179195,215.648022,0.02655,,,26.083268,0.048289,157.271405,0.205473
52.028962,0.730128,35.183225,0.152537,31.82006,0.125404,28.27089,0.374829,215.751369,0.044539,,,26.267055,0.156942,157.60728,0.212621
52.251731,0.676503,35.551557,0.478867,32.038995,0.08483,28.437592,0.019717,215.942862,0.362178,,,26.427182,0.149573,157.786213,0.152553
52.53443,0.454468,35.736119,0.40387,32.271605,0.165379,28.601706,0.290581,216.259559,0.033196,,,26.592226,0.408535,160.545534,0.151041
52.933843,0.355496,36.212785,0.582814,32.657291,0.135446,28.771605,0.01657,216.622672,0.419865,,,26.914432,0.576598,162.996244,0.237165
53.202452,0.595286,36.408517,0.31161,33.004991,0.077354,28.936564,0.241019,216.951936,0.10145,,,27.101707,0.042928,168.555804,0.158013
53.585011,0.576567,36.722692,0.228369,33.324148,0.085299,29.125106,0.660864,217.147903,0.126002,,,27.259175,0.081158,168.715782,0.159316
53.873743,0.427115,36.901815,0.171381,33.665587,0.1806,29.278892,0.039853,217.323296,0.437637,,,27.414243,0.152187,169.052986,0.163277
54.7552,0.584481,37.085463,0.398533,34.026762,0.075123,29.443017,0.015705,217.658317,0.033245,,,27.596919,0.061608,169.278322,0.18008
54.95606,0.295595,37.263572,0.392482,34.294196,0.104067,29.594324,0.247458,217.823432,0.081983,,,27.768773,0.029216,169.414663,0.216169
55.272095,0.516545,37.568696,0.386996,34.548021,0.128484,29.942658,0.057441,218.014344,0.430206,,,27.91862,0.193053,169.571052,0.377288
56.088783,0.508668,37.746022,0.199211,34.825885,0.101886,30.121425,0.085925,218.195566,0.020615,,,28.08293,0.566328,169.687885,0.385541
56.328016,0.405641,37.943391,0.171999,35.057583,0.145437,30.306156,0.152487,218.356583,0.079095,,,28.275947,0.043907,169.81987,0.47924
56.621485,0.341908,38.241176,0.386921,35.393596,0.174895,30.501353,0.563273,218.545577,0.095648,,,28.595851,0.047854,169.9592,0.662428
57.459441,0.687849,38.621885,0.258008,35.74391,0.239765,30.617753,0.038525,218.722265,0.468792,,,28.760694,0.161246,170.124608,0.666993
57.679504,0.528,38.927714,0.326287,36.077954,0.310673,30.753547,0.543911,219.05737,0.036823,,,28.936239,0.035936,170.307723,0.843814
57.965932,0.415524,39.282499,0.284442,36.40755,0.324795,30.95628,0.666919,219.441637,0.41587,,,29.132332,0.13863,170.507495,0.377022
58.354217,0.380544,39.593129,0.243156,36.725671,0.127037,31.138519,0.030419,219.754227,0.100614,,,29.260565,0.127965,170.798526,0.523375
58.65284,0.505088,39.954625,0.227068,36.906704,0.266364,31.281115,0.740241,219.943164,0.124644,,,29.604593,0.485618,170.944586,0.293309
59.028152,0.577337,40.267501,0.473893,37.085195,0.251212,31.457141,0.741189,220.132303,0.39342,,,29.941327,0.099819,171.142933,0.3841
59.339134,0.501176,40.451242,0.358052,37.295255,0.363637,31.632647,0.033742,220.444981,0.054678,,,30.097344,0.102457,171.401197,0.387862
60.195275,0.520568,40.640658,0.262653,37.536512,0.233453,31.83127,0.075573,220.634171,0.079811,,,30.276635,0.061741,171.644427,0.262751
60.736398,0.488724,40.952754,0.290398,37.74206,0.350763,31.997297,0.026818,220.828278,0.353361,,,30.508716,0.121338,171.845169,0.363661
61.347258,0.374668,41.31074,0.229802,38.087078,0.149334,32.156905,0.085351,221.149902,0.094069,,,30.610321,0.265058,172.040635,0.268274
61.755212,0.446209,41.598035,0.319299,38.41614,0.35663,32.31956,0.211335,221.34218,0.092529,,,30.778709,0.414672,172.274704,0.583052
62.048745,0.383623,41.777698,0.103132,38.750168,0.257382,32.505569,0.090774,221.534573,0.327215,,,30.950815,0.099177,172.584334,0.409949
62.893245,0.602163,41.960112,0.425493,38.915631,0.216222,32.665246,0.059761,221.883676,0.035163,,,31.287212,0.138207,172.951558,0.763303
63.151006,0.571122,42.254493,0.350387,39.09042,0.490819,32.829619,0.071442,222.06964,0.044081,,,31.457758,0.229869,173.587189,0.467165
63.422287,0.305722,42.44819,0.277687,39.449065,0.176342,32.993201,0.089573,222.287571,0.440245,,,31.640721,0.029164,173.691318,0.698294
63.77583,0.364995,42.766679,0.218307,39.77565,0.394808,33.178293,0.08077,222.58238,0.10626,,,31.814987,0.01532,174.319936,0.462873
64.102978,0.611067,42.94184,0.259295,39.905795,0.05355,33.343396,0.029651,222.774945,0.136839,,,31.978706,0.068621,174.970292,0.272744
64.453824,0.507688,43.124834,0.292889,40.033953,0.06581,33.498705,0.173644,222.956929,0.522943,,,32.148402,0.031639,175.290805,0.508623
64.755517,0.514172,43.308364,0.219435,40.254244,0.205514,33.68259,0.112221,223.272354,0.027843,,,32.321046,0.474469,175.4022,0.197906
