IOI;Data;;;
0,497558333333333;sw114a002_coda_01.xls;;;
0,49745;sw114a002_coda_01.xls;;;
0,495733333333333;sw114a002_coda_01.xls;;;
0,503808333333333;sw114a002_coda_01.xls;;;
0,502033333333333;sw114a002_coda_01.xls;;;
0,502108333333334;sw114a002_coda_01.xls;;;
0,498658333333333;sw114a002_coda_01.xls;;;
0,488375;sw114a002_coda_01.xls;;;
0,485633333333333;sw114a002_coda_01.xls;;;
0,4777;sw114a002_coda_01.xls;;;
0,490808333333333;sw114a002_coda_01.xls;;;
0,482191666666667;sw114a002_coda_01.xls;;;
0,467975;sw114a002_coda_01.xls;;;
0,454958333333333;sw114a002_coda_01.xls;;;
0,461425;sw114a002_coda_01.xls;;;
0,587783333333334;sw114a002_coda_01.xls;;;
0,5648;sw114a002_coda_01.xls;;;
0,537791666666665;sw114a002_coda_01.xls;;;
0,529016666666667;sw114a002_coda_01.xls;;;
0,527066666666666;sw114a002_coda_01.xls;;;
0,541916666666667;sw114a002_coda_01.xls;;;
0,635583333333333;sw114a002_coda_01.xls;;;
0,631133333333334;sw114a002_coda_01.xls;;;
0,591216666666666;sw114a002_coda_01.xls;;;
0,598233333333333;sw114a002_coda_01.xls;;;
0,596916666666667;sw114a002_coda_01.xls;;;
0,524666666666667;sw114a002_coda_01.xls;;;
0,491199999999999;sw114a002_coda_01.xls;;;
0,476816666666668;sw114a002_coda_01.xls;;;
0,473141666666665;sw114a002_coda_01.xls;;;
0,461375;sw114a002_coda_01.xls;;;
0,633800000000001;sw114a002_coda_01.xls;;;
0,617999999999999;sw114a002_coda_01.xls;;;
0,566541666666669;sw114a002_coda_01.xls;;;
0,491308333333333;sw114a002_coda_01.xls;;;
0,474550000000001;sw114a002_coda_01.xls;;;
0,480541666666664;sw114a002_coda_01.xls;;;
0,47944166666667;sw114a002_coda_01.xls;;;
0,859783333333333;sw114a002_coda_01.xls;;;
0,673575;sw114a002_coda_01.xls;;;
0,607624999999999;sw114a002_coda_01.xls;;;
0,600666666666669;sw114a002_coda_01.xls;;;
0,614108333333331;sw114a002_coda_01.xls;;;
0,633008333333336;sw114a002_coda_01.xls;;;
0,584774999999997;sw114a002_coda_01.xls;;;
0,537233333333333;sw114a002_coda_01.xls;;;
0,536950000000001;sw114a002_coda_01.xls;;;
0,632075;sw114a002_coda_01.xls;;;
0,626625000000001;sw114a002_coda_01.xls;;;
0,578783333333334;sw114a002_coda_01.xls;;;
0,533858333333331;sw114a002_coda_01.xls;;;
0,4999;sw114a002_coda_01.xls;;;
0,513041666666666;sw114a002_coda_01.xls;;;
0,667925;sw114a002_coda_01.xls;;;
0,604933333333335;sw114a002_coda_01.xls;;;
0,581441666666667;sw114a002_coda_01.xls;;;
0,581991666666667;sw114a002_coda_01.xls;;;
0,577041666666666;sw114a002_coda_01.xls;;;
0,580525000000002;sw114a002_coda_01.xls;;;
0,567216666666667;sw114a002_coda_01.xls;;;
0,562899999999999;sw114a002_coda_01.xls;;;
0,639333333333333;sw114a002_coda_01.xls;;;
0,603850000000001;sw114a002_coda_01.xls;;;
0,530958333333331;sw114a002_coda_01.xls;;;
0,489183333333337;sw114a002_coda_01.xls;;;
0,461458333333333;sw114a002_coda_01.xls;;;
0,462616666666662;sw114a002_coda_01.xls;;;
0,468450000000004;sw114a002_coda_01.xls;;;
0,465483333333331;sw114a002_coda_01.xls;;;
0,755341666666666;sw114a002_coda_01.xls;;;
0,594299999999997;sw114a002_coda_01.xls;;;
0,533675000000002;sw114a002_coda_01.xls;;;
0,51124166666667;sw114a002_coda_01.xls;;;
0,470074999999994;sw114a002_coda_01.xls;;;
0,448841666666667;sw114a002_coda_01.xls;;;
0,454483333333336;sw114a002_coda_01.xls;;;
0,456775;sw114a002_coda_01.xls;;;
0,46223333333333;sw114a002_coda_01.xls;;;
0,603650000000002;sw114a002_coda_01.xls;;;
0,592300000000002;sw114a002_coda_01.xls;;;
0,558491666666669;sw114a002_coda_01.xls;;;
0,533441666666661;sw114a002_coda_01.xls;;;
0,514158333333334;sw114a002_coda_01.xls;;;
0,483133333333335;sw114a002_coda_01.xls;;;
