IOI;Data;;;
0,1311;S_bil_IC_p22_04;;;
0,1724;S_bil_IC_p22_04;;;
0,0706;S_bil_IC_p22_04;;;
0,0932;S_bil_IC_p22_06;;;
0,1238;S_bil_IC_p22_06;;;
0,0952;S_bil_IC_p22_06;;;
0,0911;S_bil_IC_p22_06;;;
0,0906000000000001;S_bil_IC_p22_06;;;
0,0864999999999999;S_bil_IC_p22_06;;;
0,0912000000000001;S_bil_IC_p22_06;;;
0,0898;S_bil_IC_p22_06;;;
0,0972;S_bil_IC_p22_06;;;
0,0865;S_bil_IC_p22_06;;;
0,1025;S_bil_IC_p22_06;;;
0,0899000000000001;S_bil_IC_p22_06;;;
0,0959;S_bil_IC_p22_08;;;
0,0812;S_bil_IC_p22_08;;;
0,1078;S_bil_IC_p22_08;;;
0,0879;S_bil_IC_p22_08;;;
0,0745;S_bil_IC_p22_08;;;
0,0931999999999999;S_bil_IC_p22_08;;;
0,0865;S_bil_IC_p22_08;;;
0,0719;S_bil_IC_p22_08;;;
0,0932000000000001;S_bil_IC_p22_08;;;
0,0925;S_bil_IC_p22_08;;;
0,0951999999999998;S_bil_IC_p22_08;;;
0,0899000000000001;S_bil_IC_p22_08;;;
0,0918000000000001;S_bil_IC_p22_08;;;
0,1032;S_bil_IC_p22_08;;;
0,1065;S_bil_IC_p22_08;;;
0,1212;S_bil_IC_p22_10;;;
0,1031;S_bil_IC_p22_10;;;
0,0992;S_bil_IC_p22_10;;;
0,0919;S_bil_IC_p22_10;;;
0,0752;S_bil_IC_p22_10;;;
0,0811999999999999;S_bil_IC_p22_10;;;
0,0958;S_bil_IC_p22_10;;;
0,1105;S_bil_IC_p22_10;;;
0,1311;S_bil_IC_p22_10;;;
0,0865999999999999;S_bil_IC_p22_10;;;
0,0832000000000002;S_bil_IC_p22_10;;;
0,1005;S_bil_IC_p22_10;;;
0,1051;S_bil_IC_p22_12;;;
0,1019;S_bil_IC_p22_12;;;
0,0998;S_bil_IC_p22_12;;;
0,0972;S_bil_IC_p22_12;;;
0,0965;S_bil_IC_p22_12;;;
0,0978;S_bil_IC_p22_12;;;
0,0952;S_bil_IC_p22_12;;;
0,0939000000000001;S_bil_IC_p22_12;;;
0,0931999999999999;S_bil_IC_p22_12;;;
0,0852000000000001;S_bil_IC_p22_12;;;
0,0985;S_bil_IC_p22_12;;;
0,1065;S_bil_IC_p22_12;;;
0,1351;S_bil_IC_p22_12;;;
0,1464;S_bil_IC_p22_12;;;
0,1032;S_bil_IC_p22_12;;;
0,1171;S_bil_IC_p22_14;;;
0,1165;S_bil_IC_p22_14;;;
0,1245;S_bil_IC_p22_14;;;
0,1477;S_bil_IC_p22_14;;;
0,1118;S_bil_IC_p22_14;;;
0,1185;S_bil_IC_p22_16;;;
0,1038;S_bil_IC_p22_16;;;
0,1112;S_bil_IC_p22_16;;;
0,1211;S_bil_IC_p22_16;;;
0,1285;S_bil_IC_p22_16;;;
0,1571;S_bil_IC_p22_16;;;
0,1071;S_bil_IC_p22_16;;;
0,0939;S_bil_IC_p22_16;;;
0,1125;S_bil_IC_p22_16;;;
0,0991;S_bil_IC_p22_16;;;
0,0952;S_bil_IC_p22_16;;;
0,1744;S_bil_IC_p22_18;;;
0,1078;S_bil_IC_p22_18;;;
0,0932;S_bil_IC_p22_18;;;
0,028;S_bil_IC_p22_18;;;
0,1484;S_bil_IC_p22_18;;;
0,1118;S_bil_IC_p22_18;;;
0,0879;S_bil_IC_p22_18;;;
0,1311;S_bil_IC_p22_18;;;
0,0858;S_bil_IC_p22_20;;;
0,0886;S_bil_IC_p22_20;;;
0,0685;S_bil_IC_p22_20;;;
0,2842;S_bil_IC_p22_20;;;
0,042;S_bil_IC_p22_20;;;
0,1218;S_bil_IC_p22_20;;;
0,0645;S_bil_IC_p22_20;;;
0,1005;S_bil_IC_p23_02;;;
0,0972;S_bil_IC_p23_02;;;
