Frame,Time,X,Y
0,0,152,143
1,0.04,152.009172,143.000441
2,0.08,152.072411,143.002352
3,0.12,152.22039,143.00085
4,0.16,152.474993,143.017001
5,0.2,152.759849,142.979546
6,0.24,153.106311,142.992267
7,0.28,153.418706,142.967587
8,0.32,153.813975,143.010063
9,0.36,154.131139,142.99641
10,0.4,154.434523,143.046892
11,0.44,154.783706,143.073815
12,0.48,155.109373,143.143425
13,0.52,155.328609,143.128092
14,0.56,155.538785,143.172761
15,0.6,155.675758,143.152054
16,0.64,155.75346,143.164161
17,0.68,155.749333,143.120454
18,0.72,155.717405,143.152999
19,0.76,155.560018,143.104162
20,0.8,155.413283,143.106271
21,0.84,155.162416,143.074159
22,0.88,154.863812,143.112984
23,0.92,154.526861,143.104145
24,0.96,154.115383,143.103255
25,1,153.688161,143.058807
26,1.04,153.192852,143.056549
27,1.08,152.51595,143.039654
28,1.12,151.802071,143.061613
29,1.16,150.884766,143.047491
30,1.2,149.884198,143.026592
31,1.24,148.788584,142.957014
32,1.28,147.577074,142.953735
33,1.32,146.29428,142.899895
34,1.36,144.990608,142.915018
35,1.4,143.518681,142.921814
36,1.44,142.13097,143.039866
37,1.48,140.671949,143.1224
38,1.52,139.10636,143.28849
39,1.56,137.52828,143.411843
40,1.6,136.113246,143.502555
41,1.64,134.763501,143.637296
42,1.68,133.420454,143.99118
43,1.72,132.119304,144.344731
44,1.76,131.0165,144.888606
45,1.8,130.004378,145.520055
46,1.84,129.276204,146.017093
47,1.88,128.754952,146.371113
48,1.92,128.5331,146.648966
49,1.96,128.371034,146.762039
50,2,128.331178,146.904646
51,2.04,128.370417,146.970764
52,2.08,128.599393,147.097661
53,2.12,128.757431,147.180249
54,2.16,129.132854,147.294534
55,2.2,129.501152,147.32121
56,2.24,129.947543,147.346989
57,2.28,130.398544,147.369807
58,2.32,130.868445,147.432021
59,2.36,131.254464,147.468201
60,2.4,131.777035,147.551008
61,2.44,132.220634,147.513771
62,2.48,132.760662,147.606465
63,2.52,133.274006,147.633336
64,2.56,133.854428,147.699795
65,2.6,134.389928,147.718614
66,2.64,134.922762,147.785099
67,2.68,135.550819,147.720232
68,2.72,136.150435,147.729936
69,2.76,136.726395,147.711674
70,2.8,137.290098,147.685867
71,2.84,137.831263,147.566711
72,2.88,138.271564,147.556399
73,2.92,138.688192,147.468192
74,2.96,139.127688,147.44817
75,3,139.502568,147.385848
76,3.04,139.879067,147.34763
77,3.08,140.235521,147.270236
78,3.12,140.62126,147.237514
79,3.16,141.099299,147.111471
80,3.2,141.62128,147.088135
81,3.24,142.053952,147.024801
82,3.28,142.396833,147.001432
83,3.32,142.618783,146.923754
84,3.36,142.813082,146.90212
85,3.4,142.866463,146.869529
86,3.44,142.872234,146.844713
87,3.48,142.824827,146.834864
88,3.52,142.764529,146.827592
89,3.56,142.551356,146.848543
90,3.6,142.344521,146.87402
91,3.64,142.061091,146.828297
92,3.68,141.812691,146.810812
93,3.72,141.481124,146.793665
94,3.76,141.089182,146.747959
95,3.8,140.626853,146.649722
96,3.84,140.17016,146.585873
97,3.88,139.638946,146.415394
98,3.92,139.015834,146.342198
99,3.96,138.340978,146.197686
100,4,137.572705,146.114561
101,4.04,136.840943,145.98035
102,4.08,136.024405,145.971868
103,4.12,135.339812,145.918055
104,4.16,134.506556,145.879691
105,4.2,133.820786,145.875611
106,4.24,133.104646,145.881241
107,4.28,132.342633,145.840596
108,4.32,131.708872,145.876291
109,4.36,131.145797,145.872551
110,4.4,130.606548,145.883734
111,4.44,130.047217,145.892701
112,4.48,129.597484,145.933433
113,4.52,129.188684,145.876512
114,4.56,128.783628,145.934111
115,4.6,128.341642,145.89355
116,4.64,128.108305,145.945559
117,4.68,127.763034,145.946966
118,4.72,127.512576,146.018941
119,4.76,127.165532,146.077062
120,4.8,126.932686,146.142429
121,4.84,126.717771,146.150755
122,4.88,126.479203,146.185655
123,4.92,126.297452,146.208409
124,4.96,126.169139,146.291502
