Frame,Time,X,Y
0,0,177,152
1,0.04,176.997628,151.994135
2,0.08,176.995688,151.987046
3,0.12,177.000182,151.934854
4,0.16,177.024033,151.875443
5,0.2,177.070976,151.801771
6,0.24,177.106992,151.782672
7,0.28,177.139902,151.601323
8,0.32,177.137731,151.618529
9,0.36,177.193396,151.572719
10,0.4,177.188032,151.511935
11,0.44,177.189968,151.400015
12,0.48,177.074314,151.345544
13,0.52,176.939658,151.13878
14,0.56,176.714232,151.020421
15,0.6,176.444105,150.848596
16,0.64,176.112665,150.721547
17,0.68,175.779524,150.493373
18,0.72,175.456873,150.356643
19,0.76,175.151759,150.150379
20,0.8,174.883284,150.008068
21,0.84,174.641954,149.827694
22,0.88,174.477389,149.693507
23,0.92,174.386188,149.596303
24,0.96,174.373963,149.543949
25,1,174.427421,149.552308
26,1.04,174.511165,149.571996
27,1.08,174.623217,149.618721
28,1.12,174.709541,149.657357
29,1.16,174.736001,149.68413
30,1.2,174.68894,149.708085
31,1.24,174.562068,149.804793
32,1.28,174.414653,149.968641
33,1.32,174.237143,150.028365
34,1.36,174.02247,150.160724
35,1.4,173.860065,150.200946
36,1.44,173.671608,150.330897
37,1.48,173.474918,150.318061
38,1.52,173.29183,150.354588
39,1.56,173.083166,150.389975
40,1.6,172.837901,150.483536
41,1.64,172.631454,150.517159
42,1.68,172.425751,150.59469
43,1.72,172.24338,150.505007
44,1.76,172.070929,150.599941
45,1.8,171.988876,150.614187
46,1.84,171.876352,150.622666
47,1.88,171.88464,150.592948
48,1.92,171.903901,150.611869
49,1.96,171.955447,150.533154
50,2,172.01217,150.509988
51,2.04,172.085066,150.455238
52,2.08,172.162808,150.422596
53,2.12,172.283393,150.33784
54,2.16,172.402497,150.366244
55,2.2,172.554881,150.305046
56,2.24,172.668255,150.30225
57,2.28,172.807458,150.260889
58,2.32,172.95451,150.335984
59,2.36,173.113473,150.298557
60,2.4,173.26413,150.31042
61,2.44,173.450511,150.237937
62,2.48,173.640261,150.177853
63,2.52,173.869834,150.16114
64,2.56,174.107352,150.133578
65,2.6,174.369576,150.0871
66,2.64,174.585253,150.125715
67,2.68,174.837832,150.021172
68,2.72,175.079103,149.930042
69,2.76,175.313799,149.894925
70,2.8,175.498365,149.889491
71,2.84,175.682775,149.873956
72,2.88,175.786295,149.919607
73,2.92,175.876345,149.906336
74,2.96,175.932906,149.911484
75,3,176.012182,149.90938
76,3.04,176.099369,149.930302
77,3.08,176.237741,149.973008
78,3.12,176.397899,150.102778
79,3.16,176.619224,150.198707
80,3.2,176.820517,150.37479
81,3.24,176.962166,150.619465
82,3.28,177.034771,150.904322
83,3.32,177.154795,151.189427
84,3.36,177.228803,151.494303
85,3.4,177.326296,151.696252
86,3.44,177.375486,151.992158
87,3.48,177.448305,152.15284
88,3.52,177.523766,152.333237
89,3.56,177.642212,152.456121
90,3.6,177.767694,152.688483
91,3.64,177.940976,152.767226
92,3.68,178.069242,152.834469
93,3.72,178.067735,152.858544
94,3.76,177.977092,152.961832
95,3.8,177.90289,152.932649
96,3.84,177.765926,152.987297
97,3.88,177.643825,152.991715
98,3.92,177.515666,153.022244
99,3.96,177.394564,153.070007
100,4,177.241895,153.131967
101,4.04,177.106482,153.210477
102,4.08,176.932361,153.346732
103,4.12,176.760802,153.456529
104,4.16,176.574851,153.51645
105,4.2,176.397006,153.616185
106,4.24,176.179731,153.869193
107,4.28,176.027496,153.954747
108,4.32,175.890298,154.106132
109,4.36,175.82712,154.057368
110,4.4,175.739445,154.122868
111,4.44,175.722177,154.203964
112,4.48,175.678264,154.242533
113,4.52,175.642611,154.243001
114,4.56,175.630683,154.341578
115,4.6,175.616704,154.310296
