Cycle,Time
1,40.83733333
2,43.636
3,46.432
4,49.264
5,52.07333333
6,54.8855
7,57.69466667
8,60.524
9,63.39066667
10,66.29733333
11,69.19733333
12,72.09866667
13,75.00533333
14,77.90666667
15,80.8093125
16,83.69866667
17,86.60933333
18,89.52266667
19,92.444
20,95.324
21,98.228
22,101.1146667
23,103.9733333
24,106.8786667
25,109.736
26,112.6447708
27,115.5070417
28,118.3813333
29,121.26
30,124.1693333
31,127.0366667
32,129.9226667
33,132.87
34,135.7453333
35,138.6706667
36,141.5466667
37,144.4533333
38,147.3146667
39,150.1853333
40,153.0966667
41,155.9866667
42,158.892
43,161.7493542
44,164.7173333
45,167.6013333
46,170.48
47,173.3833333
48,176.2813333
49,179.176
50,182.0533333
51,184.9633333
52,187.852
53,190.7586667
54,193.6053333
55,196.596
56,199.4813333
57,202.3866667
58,205.272
59,208.168
60,211.0773333
61,213.9666667
62,216.8466667
63,219.6966667
64,222.6
65,225.472
66,228.3282083
67,231.1533333
68,234.112
69,236.9813333
70,239.8735833
71,242.7746667
72,245.7373333
73,248.6293333
74,251.4533333
75,254.384
76,257.2933333
77,260.1693333
78,263.1026667
79,265.9766667
80,268.8586667
81,271.7833333
82,274.684
83,277.57
84,280.496
85,283.4053333
86,286.3466667
87,289.2613333
88,292.1653333
89,295.05
90,297.948
91,300.8306667
92,303.7666667
93,306.6766667
94,309.5906667
95,312.4933333
96,315.3973333
97,318.2956875
98,321.212
99,324.1133333
100,327.0013333
101,329.888
102,332.836
103,335.6426667
104,338.51
105,341.38
106,344.2613333
107,347.1
108,350.0693333
109,352.9186667
110,355.8906667
111,358.7666667
112,361.7160625
113,364.6266667
114,367.5233333
115,370.3826667
116,373.2933333
117,376.1613333
118,379.0973333
119,381.9666667
120,384.876
121,387.7833333
122,390.6853333
123,393.5906667
124,396.5
125,399.38
126,402.2933333
127,405.1013333
128,408.0266667
129,410.9166667
130,413.7933333
131,416.6733333
132,419.6226667
133,422.5293333
134,425.4533333
