Bass,Bass peak,Clave,Clave peak,Guitar,Guitar peak,Tres,Tres peak,Bongos,Bongos peak,Bell,Bell peak,Cajon,Cajon peak,Conga,Conga peak,Trumpet,Trumpet peak
42.05369,0.673216,278.341708,0.051259,43.45051,0.153801,43.615348,0.191589,65.688889,0.048648,276.846238,0.015727,40.449487,0.162474,41.874961,0.032865,65.972955,0.552141
42.296115,0.573753,278.842562,0.037928,46.462723,0.304249,46.442251,0.177149,65.879865,0.133022,277.028109,0.069981,41.178212,0.108267,42.746861,0.02176,66.41885,0.397681
42.535768,0.426959,279.049702,0.038421,49.274543,0.234134,49.349568,0.18219,66.104993,0.06361,277.2032,0.168888,41.358699,0.335102,43.269066,0.021391,66.871378,0.201337
42.975715,0.329508,279.57851,0.044527,51.229845,0.243998,50.983572,0.16114,67.356844,0.055618,277.289063,0.01815,41.875127,0.533114,44.703581,0.026588,68.298741,0.178049
43.247475,0.499074,279.771593,0.043821,51.710341,0.356533,51.172598,0.213353,67.559424,0.060448,277.426148,0.057398,42.571815,0.161691,45.199161,0.034219,68.518859,0.185362
43.592303,0.451948,280.090472,0.062035,54.815469,0.141464,51.754545,0.30669,68.017572,0.243421,277.564553,0.14275,42.747067,0.331334,45.388912,0.026967,69.717514,0.226195
44.507231,0.361419,280.840092,0.043456,57.354928,0.337139,54.918656,0.209671,68.106625,0.246928,277.643081,0.015569,43.269314,0.372065,45.590905,0.021357,69.929223,0.274581
44.881501,0.33506,281.242047,0.038941,58.257564,0.158491,57.458562,0.107563,68.290585,0.586816,278.338443,0.764357,44.007085,0.208244,45.825338,0.046318,70.175878,0.386019
46.272689,0.34973,281.586519,0.027144,60.439598,0.353271,57.694527,0.062571,68.510941,0.557323,278.666326,0.019685,44.189466,0.208368,46.048457,0.046946,72.083063,0.238453
46.460721,0.512956,281.786918,0.0321,60.822669,0.104582,60.507717,0.117191,68.640717,0.028037,278.847617,0.14685,44.703649,0.435675,46.283247,0.040744,72.651368,0.161318
46.970007,0.467197,281.964158,0.036908,62.842994,0.133932,61.063806,0.088318,68.821883,0.048057,279.046386,0.398039,45.387234,0.150163,46.532254,0.033535,74.643543,0.233287
47.316851,0.4378,282.691199,0.026238,63.02898,0.1128,61.557125,0.117707,69.01121,0.056566,279.394079,0.043563,45.564474,0.289848,46.776103,0.028768,74.809349,0.200966
48.008668,0.284285,283.0297,0.043734,63.409755,0.36549,64.458338,0.06643,69.214702,0.032372,279.571343,0.100402,46.094597,0.532088,47.01357,0.016872,75.078172,0.213644
48.646513,0.310944,283.408506,0.560666,63.947094,0.277746,64.655771,0.082575,69.379242,0.162186,279.768382,0.472949,46.809148,0.147498,47.324951,0.059904,77.7344,0.165434
48.876605,0.304584,283.765364,0.441408,64.509251,0.137064,66.278953,0.061867,70.090247,0.022252,280.128834,0.172206,47.013657,0.317533,47.506946,0.027501,85.340668,0.422106
49.11335,0.343153,283.974894,0.259514,66.306611,0.278802,66.822246,0.075655,70.277554,0.056115,280.73406,0.015478,47.507221,0.449334,48.40512,0.015071,85.550935,0.274709
50.652472,0.442973,284.311689,0.114009,66.809503,0.329794,67.362919,0.061846,70.470255,0.197206,280.869845,0.035746,48.212032,0.126212,48.892025,0.029727,86.233618,0.195391
52.096724,0.280721,284.689346,0.698085,67.388521,0.342041,67.55171,0.185577,70.650009,0.016674,281.239637,0.460485,48.405411,0.264529,50.312451,0.024912,86.394002,0.428182
52.415513,0.344108,285.417014,0.032781,67.634583,0.133207,67.900994,0.050292,70.816306,0.110872,281.427315,0.018013,48.594179,0.053036,50.492088,0.02425,86.97546,0.311507
52.603609,0.422066,285.95186,0.260422,69.206561,0.334351,68.263642,0.086551,70.997192,0.273279,281.588064,0.140513,48.890327,0.480337,51.201335,0.018523,87.177914,0.400109
53.116693,0.452522,286.14737,0.358077,69.714314,0.324923,69.168517,0.053411,71.204183,0.025172,281.779065,0.141357,49.61689,0.088486,51.728207,0.094176,87.656226,0.368578
53.314414,0.475077,286.269735,0.027339,70.273324,0.294771,69.734036,0.071705,71.569233,0.10569,281.960711,0.392816,49.812641,0.255201,52.626016,0.015971,89.380657,0.169967
53.511341,0.334997,286.371735,0.406496,72.111733,0.218772,70.448039,0.127864,71.727803,0.055188,282.304344,0.029815,50.312647,0.409251,53.12876,0.02737,96.795408,0.188362
53.990616,0.34714,286.472753,0.03707,72.639273,0.184068,71.117799,0.066554,71.896255,0.23532,282.495046,0.080061,50.679387,0.056733,53.993312,0.019085,97.128621,0.313417
54.213474,0.393031,286.613795,0.345131,73.174187,0.227598,72.046539,0.075839,72.15079,0.497029,282.572996,0.020356,51.021717,0.095344,54.522419,0.02741,97.937458,0.288033
54.429209,0.389766,286.879783,0.349495,74.467908,0.145738,72.425386,0.054951,72.400421,0.360808,282.6891,0.420441,51.20055,0.286676,55.91995,0.025451,98.116387,0.174963
54.668323,0.59446,287.12606,0.034516,75.05026,0.408172,72.645819,0.107204,72.643973,0.591087,283.04523,0.123625,51.731606,0.483653,57.326448,0.027708,100.26092,0.256251
54.879812,0.547633,287.256134,0.371912,75.55218,0.480232,73.361481,0.105498,72.994091,0.018564,283.227284,0.146719,52.453663,0.103291,58.762744,0.02753,100.482927,0.262049
55.730395,0.335776,287.401952,0.092345,75.944711,0.16775,74.078293,0.058479,73.171739,0.060567,283.422522,0.533931,52.626017,0.270308,59.636787,0.016074,100.678431,0.256796
56.08153,0.326588,287.585536,0.411531,76.270795,0.708947,74.792771,0.074829,73.348393,0.24176,283.773262,0.090993,53.129142,0.463579,60.17559,0.031976,100.889952,0.511096
57.832301,0.307973,288.309542,0.064052,76.651113,0.175966,74.998839,0.113123,73.711713,0.041618,283.97924,0.065663,53.326924,0.070975,60.712769,0.020384,101.167327,0.365557
58.383896,0.713445,288.541101,0.038222,76.996772,0.756628,75.33298,0.069467,73.917837,0.094174,284.190952,0.398887,53.817968,0.103256,60.868845,0.018328,101.61344,0.18648
58.731806,0.27732,288.832425,0.052139,77.372267,0.168151,75.522223,0.207713,74.096154,0.023683,284.495552,0.120683,53.993432,0.288174,61.053203,0.02626,103.117604,0.164603
58.937124,0.487956,289.054708,0.028531,77.713466,0.743695,75.889489,0.074421,74.457563,0.085181,284.702654,0.132037,54.522459,0.412859,61.381689,0.019,103.594474,0.200427
59.113981,0.646576,289.258025,0.028037,78.077085,0.178962,76.279248,0.084201,74.634038,0.744457,284.875592,0.428613,55.236018,0.137828,61.610105,0.038985,103.772064,0.22305
59.451756,0.482227,289.592307,0.039593,78.436378,0.350821,76.637286,0.099045,75.071706,0.017211,285.05597,0.016581,55.409131,0.220611,62.120993,0.030814,103.917686,0.203372
59.849652,0.329725,289.964484,0.039321,78.908834,0.313737,76.990218,0.110439,75.362498,0.016794,285.210365,0.027284,55.920043,0.39592,62.289619,0.031865,105.254854,0.170581
60.517331,0.39223,290.710632,0.042617,79.181928,0.483355,78.053772,0.208926,75.549899,0.061509,285.410541,0.081969,56.125151,0.055675,62.482006,0.016234,106.704001,0.174481
61.024605,0.410057,291.246386,0.039466,79.455575,0.121664,78.267269,0.095055,75.759674,0.01828,285.496048,0.018847,56.629141,0.119522,62.827465,0.147285,106.866391,0.216863
61.217753,0.31366,291.755008,0.04133,79.723923,0.297406,78.430498,0.148502,75.942059,0.155778,285.61131,0.36636,56.800633,0.136437,63.013137,0.288549,107.243624,0.188821
62.678949,0.453271,291.977904,0.02556,79.901009,0.401166,78.776728,0.060795,76.095674,0.085556,285.952195,0.128643,57.330237,0.416412,63.572222,0.048872,107.419019,0.322102
63.368053,0.481846,292.163685,0.044269,80.414441,0.198794,79.159999,0.104902,76.28804,0.177129,286.149057,0.121877,58.057321,0.162835,63.753933,0.058945,107.76818,0.179743
63.942007,0.464467,292.893614,0.045749,80.603536,0.540819,79.520963,0.069475,76.631753,0.076585,286.352555,0.457929,58.244435,0.159889,63.951621,0.026697,108.158052,0.338804
64.287995,0.29134,293.594181,0.05129,80.88543,0.12797,80.546021,0.076545,76.99924,0.02948,286.700292,0.066831,58.766558,0.499787,64.294188,0.102021,108.49737,0.254181
64.481333,0.375599,294.128641,0.035059,81.166475,0.204564,80.681196,0.082897,77.186702,0.07634,286.868352,0.05602,59.459411,0.136583,64.470973,0.24849,109.327361,0.244622
66.069037,0.36756,294.320666,0.031107,81.344152,0.39518,81.32539,0.066288,77.361321,0.297349,287.084308,0.442766,59.636765,0.274893,64.671369,0.257469,109.581059,0.394984
66.30896,0.475936,294.660295,0.026612,81.548713,0.106802,82.040109,0.079817,77.533166,0.073872,287.414937,0.103296,60.170444,0.524506,65.014568,0.059535,110.332678,0.244
66.818738,0.483653,295.050346,0.869251,81.87126,0.280676,82.437822,0.065288,77.726467,0.463086,287.615246,0.149368,60.565875,0.050141,65.186279,0.049898,112.262357,0.157674
67.343053,0.563722,295.414981,0.519327,82.058879,0.529288,82.771632,0.052515,78.082072,0.078112,287.813822,0.666844,60.863499,0.242458,65.377749,0.038137,112.438966,0.258994
69.018098,0.499612,295.608883,0.25927,82.262,0.122407,83.125977,0.235589,78.269425,0.033757,288.143328,0.060056,61.055583,0.379753,65.729055,0.349209,112.795638,0.255436
69.382345,0.347722,295.93086,0.20621,82.634861,0.168553,83.483876,0.228425,78.457526,0.064624,288.342719,0.051559,61.604877,0.617574,65.902395,0.292703,113.214367,0.345168
69.739415,0.393977,296.297137,1.00045,82.819394,0.438339,83.86407,0.100093,78.814435,0.05357,288.419069,0.026034,75.373074,0.107392,66.098378,0.422692,113.460945,0.184492
70.292698,0.57251,297.042398,0.033758,83.002013,0.182098,84.21483,0.07761,78.986867,0.079438,288.53858,0.609824,75.56031,0.591803,66.275499,0.01694,113.666652,0.192681
71.713355,0.379323,297.541599,0.490096,83.339621,0.151312,84.604959,0.086371,79.150377,0.098302,288.864373,0.122275,76.10025,0.685847,66.45181,0.059618,113.893889,0.202725
71.895231,0.280228,297.74484,0.357926,83.5328,0.671257,84.814047,0.098211,79.510355,0.214198,289.059608,0.137352,76.818149,0.096118,66.632154,0.079693,114.160918,0.170864
72.652009,0.329028,297.963982,0.402374,83.773926,0.146537,84.952267,0.186907,79.687934,0.019281,289.255708,0.443871,77.010238,0.462613,67.170258,0.174623,115.50398,0.188864
73.215352,0.300708,298.193344,0.314338,84.069658,0.199803,85.330801,0.117598,79.883242,0.06949,289.60701,0.044514,77.537831,0.74953,67.349838,0.345512,115.769579,0.158957
74.569198,0.400039,298.489311,0.592104,84.253461,0.338422,85.662876,0.150874,80.074537,0.050071,289.788844,0.067261,77.950101,0.115967,67.553566,0.397096,116.286724,0.198878
75.348492,0.398157,298.696166,0.035427,84.429519,0.168156,86.026179,0.067436,80.254745,0.229447,289.995336,0.463316,78.280101,0.098646,67.741624,0.021421,117.978185,0.197902
75.546759,0.495652,298.869297,0.451576,84.749259,0.244558,86.195237,0.095426,80.423943,0.076842,290.317456,0.106916,78.461998,0.659928,67.91959,0.060067,120.354182,0.255337
76.054802,0.364725,299.181908,0.430161,84.957041,0.612093,86.402176,0.079951,80.619296,0.067006,290.51404,0.119398,78.990421,0.680314,68.099189,0.079928,120.622945,0.580384
76.234601,0.585496,299.285014,0.040298,85.195961,0.134856,86.609476,0.234176,80.976578,0.06884,290.706095,0.414745,79.698886,0.131148,68.297189,0.126644,121.093114,0.480537
76.419856,0.281522,299.907505,0.032759,85.502351,0.152566,86.945265,0.072614,81.148457,0.028105,291.036741,0.020666,79.893468,0.697442,68.5183,0.127522,121.554578,0.457068
76.80729,0.5357,300.120147,0.034061,85.69724,0.498515,87.116747,0.112526,81.338754,0.057268,291.198255,0.066839,80.435958,0.782804,68.633395,0.292191,122.049306,0.512698
77.001892,0.514065,300.430821,0.064206,86.041979,0.171762,87.511343,0.060869,81.700539,0.045086,291.280054,0.048281,81.159812,0.12264,68.815885,0.276046,122.461995,0.398734
77.205882,0.487888,300.827705,0.038013,86.229874,0.211664,87.782945,0.082138,81.872206,0.084681,291.444251,0.292678,81.34869,0.5594,69.003722,0.352535,123.86706,0.232691
77.526286,0.579965,301.148455,0.05437,86.615072,0.644383,87.908155,0.105047,82.068181,0.099458,291.778172,0.088739,81.877532,0.854346,69.363384,0.065635,123.997714,0.327343
77.711569,0.307213,301.546576,0.048261,86.804539,0.133887,88.257779,0.103621,82.429307,0.096591,291.975874,0.122832,82.60441,0.06368,69.538045,0.105261,124.140016,0.737305
78.236426,0.520166,302.113977,0.027874,87.186565,0.455515,88.634602,0.087379,82.600533,0.01881,292.160248,0.602631,82.808043,0.609899,69.73825,0.033763,124.414084,0.910766
78.439903,0.546074,302.288732,0.051453,87.552502,0.245311,89.321845,0.053182,82.802662,0.043325,292.500417,0.052229,83.324432,0.885277,70.08534,0.271886,124.630677,0.887999
78.960248,0.429427,302.813165,0.042386,87.899995,0.591697,89.68512,0.116744,82.975868,0.108617,292.668851,0.054405,84.064675,0.100113,70.272517,0.352557,125.709664,0.429836
79.162331,0.479856,303.017359,0.031677,88.28135,0.106824,90.042174,0.141756,83.150564,0.295561,292.891205,0.619231,84.264057,0.669248,70.466982,0.343701,125.881296,0.352677
79.705521,0.379183,303.347631,0.045965,88.62121,0.542823,90.288615,0.224206,83.319593,0.081961,293.050459,0.035687,84.78976,0.614246,70.816534,0.053955,126.852563,0.206642
79.886926,0.410483,303.557484,0.030674,88.797251,0.102678,90.575411,0.073623,83.519228,0.266302,293.217935,0.118738,85.507013,0.108588,70.994945,0.120418,127.005723,0.321691
80.22787,0.35829,303.762271,0.036339,89.149356,0.390487,90.812773,0.051365,83.884759,0.114735,293.419206,0.129103,85.704094,0.66402,71.192808,0.034137,127.577289,0.244118
80.423095,0.385133,304.077994,0.039577,89.348534,0.952381,92.080552,0.056501,84.253355,0.062821,293.600667,0.533201,86.219804,0.707608,71.539548,0.235879,127.718272,0.318629
81.156174,0.513012,304.497332,0.035865,89.54519,0.105294,92.228409,0.179699,84.60407,0.047802,293.781209,0.030408,86.978521,0.060002,71.719907,0.333577,128.478349,0.322174
81.341461,0.461024,305.00874,0.026954,89.731341,0.153012,92.621296,0.090815,84.77961,0.089433,293.925842,0.054246,87.168969,0.698727,71.908299,0.287966,129.75506,0.416158
81.69265,0.406469,305.197954,0.066154,90.072114,0.323243,92.998036,0.222085,84.970353,0.181597,294.108582,0.079167,87.707709,0.451059,72.158438,0.123622,129.986032,0.154173
81.882364,0.458846,305.719276,0.053423,90.539654,0.347542,93.345298,0.139801,85.329097,0.257526,294.209005,0.017957,88.089958,0.054009,72.266799,0.047495,138.648253,0.398557
82.592113,0.339025,305.935074,0.036955,90.792559,0.687819,93.662189,0.160254,85.502798,0.032125,294.318566,0.544454,88.447346,0.070398,72.450273,0.10628,139.187573,0.418038
82.778267,0.418616,306.275927,0.044857,90.981597,0.193543,94.042381,0.129606,85.693242,0.057221,294.484892,0.024709,88.6438,0.669817,72.651566,0.129945,139.712956,0.365084
82.978766,0.520756,306.653632,0.351718,91.339784,0.515486,94.417095,0.104708,85.853924,0.032744,294.659286,0.118707,89.187239,0.504894,72.987886,0.279759,140.289653,0.354195
83.293438,0.733953,307.012565,0.45953,91.519647,0.420883,94.777237,0.096286,86.028722,0.165954,294.848609,0.166006,89.561825,0.227747,73.163855,0.325234,140.844709,0.402573
83.47923,0.314301,307.115713,0.027092,91.71761,0.176765,94.978222,0.144454,86.215219,0.074147,295.044256,0.472353,89.917589,0.114583,73.364858,0.387731,141.620949,0.274085
84.02265,0.54544,307.221078,0.163125,92.219563,0.44522,95.170385,0.254323,86.422522,0.473643,295.396043,0.06762,90.105397,0.688692,73.545497,0.030679,145.706695,0.231262
84.21693,0.611701,307.323974,0.031061,92.401412,0.115969,95.519404,0.070053,86.785793,0.115683,295.567039,0.055101,90.63435,0.583951,73.721439,0.060537,148.571028,0.16439
