Piece,Label SD,SD,Clave_?,Section,Clave,Bass ,Guitar,Tres,Bongo,Bell,Cajon,Conga,Trumpet,Cl_Dens,Bs_Dens,Gt_Dens,Tr_Dens,Bn_Dens,Bl_Dens,Cj_Dens,Cn_Dens,Tm_Dens,Cl_Peak,Bs_Peak,Gt_Peak,Tr_Peak,Bn_Peak,Bl_Peak,Cj_Peak,Cn_Peak,Tm_Peak
Song_1,4|3,3,1,Son,,,,,,,49.61689,,,,,,,,,2.5,,,,,,,,,0.088486,,
Song_1,4|4,4,N,Son,,,,,,,49.812641,,,,,,,,,3,,,,,,,,,0.255201,,
Song_1,4|5,5,2,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,4|6,6,N,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,4|7,7,N,Son,,,,,,,50.312647,,,,,,,,,3,,,,,,,,,0.409251,,
Song_1,4|8,8,N,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,4|9,9,3,Son,,50.652472,,,,,50.679387,,,,1.5,,,,,2.5,,,,0.442973,,,,,0.056733,,
Song_1,4|10,10,N,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,4|11,11,N,Son,,,,,,,51.021717,,,,,,,,,2.5,,,,,,,,,0.095344,,
Song_1,4|12,12,4,Son,,,51.229845,51.172598,,,51.20055,,,,,1,1.5,,,3,,,,,0.243998,0.213353,,,0.286676,,
Song_1,4|13,13,N,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,4|14,14,N,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,4|15,15,5,Son,,,51.710341,51.754545,,,51.731606,,,,,1,1.5,,,3,,,,,0.356533,0.30669,,,0.483653,,
Song_1,4|16,16,N,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,5|1,1,N,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song_1,5|2,2,N,Son,,,,,,,,,,,,,,,,,,,,,,,,,,,
