Tier,Start Time,End Time,Duration,Annotation
Structure: Son/Montuno,35.2,75,39.8,Intro
Structure: Son/Montuno,75,240,165,Son
Structure: Son/Montuno,240,434.2,194.2,Montuno
Verse/Chorus,75,129.8,54.8,Verse 1
Verse/Chorus,129.8,185,55.2,Verse 2
Verse/Chorus,185,233.7,48.7,Verse 3
Verse/Chorus,233.7,240,6.3,Break
Verse/Chorus,240,434.2,194.2,Chorus and improvisations
