start,end,ioi,seq_code,cv,npvi,ioi_beat,fourier_beat 
53.156,53.675,1.615,BM5,,,,
54.771,55.249,1.54,BM5,,,,
56.311,56.75,1.526,BM5,,,,
57.837,58.212,1.477,BM5,,,,
59.314,59.699,1.516,BM5,,,,
60.83,61.233,1.813,BM5,,,,
62.643,63.012,1.878,BM5,,,,
64.521,64.986,1.897,BM5,,,,
66.418,66.827,,BM5,,,,
,,,,,,,
1.483,2.028,3.58,BM6,0.16,18.23,0.32,1.72
5.063,5.675,2.792,BM6,,,,
7.855,8.43,2.894,BM6,,,,
10.749,11.214,2.316,BM6,,,,
13.065,13.634,2.597,BM6,,,,
15.662,16.395,3.215,BM6,,,,
18.877,19.457,2.712,BM6,,,,
21.589,22.225,3.612,BM6,,,,
25.201,25.768,3.976,BM6,,,,
29.177,29.722,3.176,BM6,,,,
32.353,33,2.384,BM6,,,,
34.737,35.351,3.393,BM6,,,,
38.13,38.793,3.997,BM6,,,,
42.127,42.694,3.431,BM6,,,,
45.558,46.116,3.038,BM6,,,,
48.596,49.253,2.96,BM6,,,,
51.556,52.283,3.443,BM6,,,,
54.999,55.715,2.897,BM6,,,,
57.896,58.526,2.458,BM6,,,,
60.354,61.145,2.69,BM6,,,,
63.044,63.744,,BM6,,,,
,,,,,,,
1.81,2.513,3.008,BM7,0.11,11.8,0.37,5.99
4.818,5.585,2.819,BM7,,,,
7.637,8.389,2.655,BM7,,,,
10.292,11.094,3.078,BM7,,,,
13.37,14.222,2.926,BM7,,,,
16.296,17.176,2.697,BM7,,,,
18.993,19.859,2.758,BM7,,,,
21.751,22.393,2.43,BM7,,,,
24.181,25.044,2.997,BM7,,,,
27.178,28.157,3.137,BM7,,,,
30.315,30.917,3.525,BM7,,,,
33.84,34.522,2.503,BM7,,,,
36.343,37.232,2.655,BM7,,,,
38.998,39.821,2.364,BM7,,,,
41.362,42.19,2.84,BM7,,,,
44.202,44.85,2.344,BM7,,,,
46.546,47.273,2.512,BM7,,,,
49.058,49.675,2.657,BM7,,,,
51.715,52.543,2.328,BM7,,,,
54.043,54.866,2.665,BM7,,,,
56.708,57.426,2.568,BM7,,,,
59.276,59.999,,BM7,,,,
,,,,,,,
0.669,1.338,3.417,BM8,0.16,18.23,0.22,2
4.086,4.872,4.323,BM8,,,,
8.409,9.083,3.414,BM8,,,,
11.823,12.475,4.226,BM8,,,,
16.049,16.739,4.093,BM8,,,,
20.142,20.736,3.891,BM8,,,,
24.033,24.718,5.574,BM8,,,,
29.607,30.115,4.221,BM8,,,,
33.828,34.444,4.762,BM8,,,,
38.59,39.211,4.591,BM8,,,,
43.181,43.978,4.89,BM8,,,,
48.071,48.745,5.682,BM8,,,,
53.753,54.358,4.987,BM8,,,,
58.74,59.452,3.896,BM8,,,,
62.636,63.278,6.099,BM8,,,,
68.735,69.447,4.458,BM8,,,,
73.193,73.797,3.981,BM8,,,,
77.174,78.024,4.013,BM8,,,,
81.187,81.893,4.58,BM8,,,,
85.767,86.409,3.999,BM8,,,,
89.766,90.386,,BM8,,,,
,,,,,,,
0.583,1.063,2.23,BM9,0.12,15.86,0.42,0.42
2.813,3.42,2.367,BM9,,,,
5.18,5.782,2.324,BM9,,,,
7.504,8.087,2.272,BM9,,,,
9.776,10.378,2.388,BM9,,,,
12.164,12.644,2.124,BM9,,,,
14.288,14.902,2.93,BM9,,,,
17.218,17.674,2.005,BM9,,,,
19.223,19.709,2.592,BM9,,,,
21.815,22.319,2.24,BM9,,,,
24.055,24.59,2.529,BM9,,,,
26.584,27.106,2.292,BM9,,,,
28.876,29.375,2.468,BM9,,,,
31.344,31.806,2.242,BM9,,,,
33.586,34.127,2.119,BM9,,,,
35.705,36.215,2.133,BM9,,,,
37.838,38.294,2.961,BM9,,,,
40.799,41.424,2.381,BM9,,,,
43.18,43.678,2.039,BM9,,,,
45.219,45.735,2.855,BM9,,,,
48.074,48.578,2.982,BM9,,,,
