start,end,ioi,seq_code,cv,npvi,ioi_beat,fourier_beat 
,,,,,,,
1.219,1.408,0.274,KWA6-C,0.47,62.6,0.68,0.53
1.493,1.551,1.573,KWA6-C,,,,
3.065,3.369,0.383,KWA6-C,,,,
3.448,3.524,1.562,KWA6-C,,,,
5.01,5.302,1.949,KWA6-C,,,,
6.959,7.219,2.063,KWA6-C,,,,
9.022,9.278,1.764,KWA6-C,,,,
10.787,10.946,1.745,KWA6-C,,,,
12.532,12.714,1.93,KWA6-C,,,,
14.462,14.638,,KWA6-C,,,,
,,,,,,,
2.669,2.784,1.883,KWA7-C,0.09,12.45,0.55,0.55
4.552,4.678,1.63,KWA7-C,,,,
6.183,6.342,1.718,KWA7-C,,,,
7.9,8.062,1.815,KWA7-C,,,,
9.715,9.874,2.051,KWA7-C,,,,
11.766,11.922,,KWA7-C,,,,
,,,,,,,
39.658,39.76,0.277,KWA8-C,0.83,108.69,0.96,0.48
39.935,40,0.277,KWA8-C,,,,
40.213,40.284,1.686,KWA8-C,,,,
41.899,42.058,0.325,KWA8-C,,,,
42.224,42.284,1.634,KWA8-C,,,,
43.858,44.129,2.042,KWA8-C,,,,
45.901,46.171,,KWA8-C,,,,
,,,,,,,
36.726,36.806,0.209,KWA9-C,0.4,33.38,0.6,4.06
36.935,37.039,1.495,KWA9-C,,,,
38.429,38.548,1.699,KWA9-C,,,,
40.129,40.257,1.736,KWA9-C,,,,
41.864,42.014,1.789,KWA9-C,,,,
43.653,43.81,1.887,KWA9-C,,,,
45.54,45.686,2.02,KWA9-C,,,,
47.56,47.727,2.45,KWA9-C,,,,
50.01,50.166,,KWA9-C,,,,
,,,,,,,
1.285,1.546,1.914,KWA10-C,1.23,91.97,0.48,3.09
3.199,3.459,7.468,KWA10-C,,,,
10.667,10.76,0.276,KWA10-C,,,,
10.943,11.028,0.307,KWA10-C,,,,
11.25,11.304,1.383,KWA10-C,,,,
12.633,12.754,1.504,KWA10-C,,,,
14.137,14.279,1.653,KWA10-C,,,,
15.79,15.949,,KWA10-C,,,,
