Cycle,Time
1,0.94
2,3.108
3,5.312
4,7.548
5,9.748
6,11.9674375
7,14.21745833
8,16.5
9,18.736
10,20.94
11,23.092
12,25.28
13,27.45889583
14,29.648
15,31.82
16,34.016
17,36.172
18,38.324
19,40.44
20,42.596
21,44.776
22,46.928
23,49.084
24,51.244
25,53.392
26,55.548
27,57.692
28,59.812
29,61.956
30,64.052
31,66.116
32,68.188
33,70.268
34,72.38
35,74.492
36,76.6
37,78.692
38,80.752
39,82.848
40,84.952
41,87.064
42,89.17558333
43,91.292
44,93.396
45,95.5000625
46,97.632
47,99.732
48,101.844
49,103.936
50,106.016
51,108.092
52,110.2
53,112.316
54,114.4017917
55,116.484
56,118.568
57,120.7
58,122.792
59,124.916
60,127.012
61,129.112
62,131.212
63,133.312
64,135.4
65,137.456
66,139.552
67,141.64
68,143.708
69,145.8
70,147.872
71,149.944
72,152.056
73,154.156
74,156.304
75,158.416
76,160.5
77,162.576
78,164.648
79,166.72
80,168.832
81,170.952
82,173.076
83,175.212
84,177.316
85,179.408
86,181.492
87,183.588
88,185.66
89,187.756
90,189.86
91,191.944
92,194.0525
93,196.144
94,198.236
95,200.332
96,202.412
97,204.472
98,206.564
99,208.652
100,210.764
101,212.896
102,215.004
103,217.072
104,219.164
105,221.228
106,223.284
107,225.392
108,227.512
109,229.588
110,231.664
111,233.744
112,235.836
113,237.928
114,240.008
115,242.12
116,244.192
117,246.304
118,248.38
119,250.452
120,252.512
121,254.584
122,256.664
123,258.76
124,260.8772292
125,262.996
126,265.1241875
127,267.252
128,269.36
129,271.448
130,273.528
131,275.612
132,277.644
133,279.704
134,281.7911875
135,283.852
136,285.916
137,287.996
138,290.088
139,292.176
140,294.2146042
141,296.3
142,298.372
143,300.4503125
144,302.512
145,304.568
146,306.672
147,308.7
148,310.736
149,312.784
150,314.88
151,316.908
152,318.956
153,321.004
154,323.092
155,325.16
156,327.192
157,329.248
158,331.344
159,333.386375
160,335.428
161,337.488
162,339.516
163,341.608
164,343.66
165,345.688
166,347.744
167,349.768
168,351.792
169,353.808
170,355.816
171,357.804
172,359.8
173,361.804
174,363.792
175,365.8
176,367.788
177,369.784
178,371.756
179,373.748
180,375.72
181,377.68
182,379.652
183,381.616
184,383.592
185,385.596
186,387.552
187,389.5068125
188,391.512
189,393.472
190,395.452
191,397.456
192,399.452
193,401.4589375
194,403.464
195,405.44
196,407.544
197,409.544
198,411.58
199,413.588
200,415.62
201,417.632
202,419.66
203,421.652
204,423.64
205,425.68
206,427.708
207,429.704
208,431.7
209,433.676
210,435.6815208
211,437.676
212,439.676
213,441.66
214,443.592
215,445.624
216,447.648
217,449.6399792
218,451.652
219,453.644
220,455.652
221,457.644
