Frame,Time,X,Y
0,0,197,172
1,0.04,197.01364,171.982224
2,0.08,197.049274,171.897731
3,0.12,197.098909,171.770756
4,0.16,197.16851,171.715879
5,0.2,197.255252,171.671933
6,0.24,197.407643,171.706067
7,0.28,197.552564,171.702193
8,0.32,197.581896,171.875225
9,0.36,197.607984,171.764722
10,0.4,197.776782,171.834459
11,0.44,198.042294,171.790757
12,0.48,198.275395,171.822957
13,0.52,198.406586,171.769502
14,0.56,198.53218,171.722152
15,0.6,198.63831,171.694197
16,0.64,198.816225,171.712393
17,0.68,198.997241,171.709683
18,0.72,199.150653,171.826871
19,0.76,199.250081,171.833985
20,0.8,199.323031,171.843552
21,0.84,199.315979,171.778949
22,0.88,199.280789,171.73302
23,0.92,199.237625,171.677911
24,0.96,199.325722,171.723716
25,1,199.497122,171.764227
26,1.04,199.638299,171.788723
27,1.08,199.666663,171.802637
28,1.12,199.7132,171.839121
29,1.16,199.753653,171.872171
30,1.2,199.838189,171.905225
31,1.24,199.934556,171.923597
32,1.28,199.997299,171.941212
33,1.32,200.003941,171.940555
34,1.36,200.014992,171.945905
35,1.4,199.965626,171.897253
36,1.44,199.91191,171.889271
37,1.48,199.836584,171.852809
38,1.52,199.798006,171.83284
39,1.56,199.756445,171.830889
40,1.6,199.641786,171.886763
41,1.64,199.501754,171.957089
42,1.68,199.36498,172.077516
43,1.72,199.320035,172.050799
44,1.76,199.367779,172.08544
45,1.8,199.589778,172.046942
46,1.84,199.719552,172.06447
47,1.88,199.714558,172.025108
48,1.92,199.486934,172.075611
49,1.96,199.171354,172.067325
50,2,198.919996,172.115474
51,2.04,198.738221,172.074426
52,2.08,198.706419,172.088004
53,2.12,198.76689,172.071313
54,2.16,198.843606,172.116447
55,2.2,198.901203,172.109675
56,2.24,198.942338,172.124117
57,2.28,199.028803,172.067011
58,2.32,199.183316,172.019821
59,2.36,199.344712,171.907546
60,2.4,199.480787,171.89594
61,2.44,199.57806,171.915425
62,2.48,199.616419,172.019194
63,2.52,199.632754,172.01807
64,2.56,199.595788,172.019999
65,2.6,199.653824,172.04235
66,2.64,199.789476,172.103371
67,2.68,199.967032,172.090742
68,2.72,200.139213,172.116983
69,2.76,200.276894,172.128915
70,2.8,200.415896,172.217562
71,2.84,200.567504,172.22411
72,2.88,200.686807,172.281277
73,2.92,200.772241,172.263106
74,2.96,200.84425,172.290315
75,3,200.915954,172.275724
76,3.04,200.993018,172.287591
77,3.08,201.086684,172.307086
78,3.12,201.201662,172.362984
79,3.16,201.333282,172.356219
80,3.2,201.501548,172.375174
81,3.24,201.670233,172.3571
82,3.28,201.821627,172.437485
83,3.32,201.943026,172.48492
84,3.36,202.105436,172.608345
85,3.4,202.322655,172.718642
86,3.44,202.610145,172.930652
87,3.48,202.94037,173.04982
88,3.52,203.251215,173.27612
89,3.56,203.589571,173.425603
90,3.6,203.998234,173.511754
91,3.64,204.472352,173.573229
92,3.68,204.899944,173.602788
93,3.72,205.20609,173.653593
94,3.76,205.421768,173.802554
95,3.8,205.603812,173.791921
