Bass,Bass peak,Clave,Clave peak,Guitar,Guitar peak,Tres,Tres peak,Bongos,Bongos peak,Bell,Bell peak,Conga,Conga peak
105.626544,0.295052,17.455742,0.152834,130.951035,0.116792,115.55869,0.106001,64.325276,0.031902,413.800448,0.063141,60.329829,0.136013
106.545219,0.503041,17.859393,0.12574,133.046656,0.115959,115.826598,0.086157,64.558803,0.029582,413.940995,0.070889,60.532891,0.107152
106.781524,0.363408,18.040634,0.078084,135.129359,0.111021,118.563844,0.097469,64.779739,0.022421,414.092035,0.017461,60.675012,0.087556
107.062594,0.363378,18.178949,0.104487,136.955075,0.109607,118.927305,0.084672,64.924901,0.017689,414.193992,0.054096,61.049553,0.016792
108.479452,0.312009,18.733942,0.167309,137.284205,0.198422,121.760577,0.126832,65.062978,0.021999,414.329243,0.041255,61.25277,0.117217
110.555185,0.442657,19.10654,0.199278,137.473001,0.307773,122.007761,0.097012,65.183757,0.243568,414.604863,0.11314,61.413279,0.119431
113.350302,0.315668,19.650701,0.181183,137.676433,0.285006,122.264326,0.087828,65.311464,0.027821,415.121282,0.023798,61.62587,0.126734
116.004086,0.341733,19.933287,0.032452,140.482112,0.602955,125.95551,0.180746,65.577899,0.061872,415.221322,0.018309,61.781832,0.074956
121.794188,0.559254,20.067491,0.105651,140.725876,0.383302,126.480602,0.159903,65.701193,0.017057,415.350294,0.032024,62.16658,0.018795
122.261726,0.434087,20.373221,0.16328,141.508495,1.004904,127.000091,0.1078,65.96,0.238038,415.488371,0.024528,62.304153,0.113187
124.962186,0.277517,20.478905,0.042729,141.773368,0.772353,133.669154,0.078705,66.198568,0.308963,415.615279,0.06121,62.467592,0.149441
125.993883,0.431219,20.93278,0.092194,143.73926,0.325059,133.935087,0.057257,66.468297,0.324878,415.741445,0.024776,62.684107,0.075633
135.891049,0.510394,21.086075,0.048898,144.803943,0.360434,136.415269,0.131225,66.639524,0.024139,416.117953,0.026004,62.833041,0.135783
136.095011,0.3579,21.315077,0.097189,145.658314,0.44485,136.768741,0.058354,66.738055,0.029581,416.338308,0.031206,62.997163,0.057781
136.666699,0.514981,21.860302,0.182795,145.835144,0.427366,138.492591,0.098391,66.860543,0.022357,416.622519,0.120753,63.372942,0.139252
137.969661,0.440819,22.268802,0.128679,149.697116,0.114846,140.604889,0.101463,66.978906,0.28714,417.133917,0.020724,63.532729,0.164257
138.162008,0.554658,22.576677,0.142636,150.503945,0.273937,142.662492,0.117362,67.252715,0.35029,417.348945,0.033046,63.744275,0.16362
138.45284,0.397191,23.095976,0.156228,150.714033,0.164252,143.032999,0.064595,67.430765,0.038219,417.483463,0.030202,63.896053,0.067205
140.014492,0.391056,23.488959,0.208597,150.990343,0.4331,144.724583,0.059518,67.786253,0.310556,417.613375,0.066424,64.155013,0.046265
140.240045,0.510138,24.035951,0.159448,151.23025,0.307406,147.342288,0.111357,68.055189,0.270742,417.734669,0.048049,64.397957,0.152845
140.516132,0.359379,24.269957,0.055061,151.505986,0.513323,147.680332,0.084651,68.243491,0.041086,417.847017,0.07652,64.554198,0.167472
142.107928,0.47041,24.445958,0.111954,157.192275,0.231003,150.485732,0.08524,68.327567,0.059967,417.98236,0.031395,64.765355,0.143257
142.631215,0.389187,24.758913,0.14578,158.305569,0.24427,150.746478,0.088205,68.555172,0.313951,418.359301,0.032005,64.910648,0.13871
144.0972,0.584852,24.900646,0.053,160.388207,0.260376,151.005129,0.057106,68.819138,0.319554,418.62786,0.100111,65.451477,0.143412
144.772047,0.360617,25.280393,0.1033,160.631679,0.347788,151.244187,0.06053,69.207865,0.086678,419.156335,0.020711,65.606932,0.131197
147.959229,0.28516,25.47793,0.045432,164.404724,0.100393,151.505568,0.062654,69.458766,0.063455,419.37796,0.038301,65.810341,0.05791
150.454661,0.581257,25.671387,0.140994,172.812631,0.102221,155.223411,0.050488,69.754143,0.036306,419.641082,0.040618,65.9478,0.066657
150.68353,0.646653,25.782654,0.029194,173.452625,0.247634,157.137554,0.06055,69.858686,0.027822,419.764147,0.035214,66.205595,0.039755
150.967953,0.449562,26.210936,0.174433,173.706226,0.173038,157.324302,0.075833,69.986244,0.025551,420.153409,0.030509,66.470405,0.136889
151.248053,0.286207,26.610912,0.150372,173.985291,0.269183,160.35427,0.08128,70.109033,0.241734,420.375844,0.050504,66.628565,0.134892
151.510688,0.417765,26.925848,0.171696,174.52152,0.151764,160.551341,0.141707,70.250202,0.038009,420.643021,0.099927,66.847568,0.162614
154.530101,0.383177,27.457401,0.126174,174.784759,0.194293,160.728467,0.119623,70.872724,0.233983,421.146303,0.015533,66.991954,0.127782
154.913014,0.343619,27.854194,0.210451,175.056085,0.282331,161.310041,0.073123,71.012647,0.129087,421.266311,0.017776,67.259897,0.04789
155.231805,0.344286,28.38904,0.158997,177.182401,0.259523,161.492526,0.119065,71.415023,0.311754,421.384588,0.03921,67.51829,0.173555
156.617921,0.393151,28.65524,0.03967,177.402081,0.176292,161.716125,0.06929,71.548071,0.126335,421.636774,0.060623,67.676675,0.144753
164.092347,0.327803,28.802799,0.127553,177.912656,0.211121,161.946151,0.050641,71.684246,0.015907,421.767842,0.036106,67.879552,0.16854
164.623424,0.3223,29.110689,0.169141,178.144422,0.138652,162.651211,0.05823,71.945794,0.220562,422.378272,0.024636,68.026526,0.059826
173.436832,0.482044,29.647372,0.119849,183.324157,0.105735,165.67422,0.141281,72.069206,0.08757,422.644018,0.06708,68.552473,0.17601
173.83506,0.275974,29.798409,0.0458,185.41404,0.110234,166.046697,0.0518,72.212318,0.028814,423.154318,0.017217,68.712446,0.103526
174.135774,0.474448,30.030502,0.220357,187.499524,0.117054,167.777588,0.09279,72.476975,0.283329,423.290571,0.017075,68.827407,0.024018
174.331727,0.32147,30.14257,0.038197,189.583667,0.111321,173.119917,0.073835,72.593406,0.136701,423.405211,0.034208,68.915083,0.054981
176.516368,0.424452,30.582152,0.144375,191.694885,0.106551,174.335113,0.078017,72.998487,0.252761,423.54304,0.029485,69.062854,0.093271
176.911298,0.45737,30.995736,0.154947,193.798611,0.114599,174.6496,0.132807,73.123668,0.12145,423.640154,0.048986,69.463094,0.017924
189.653995,0.315704,31.307523,0.156311,194.224051,0.212434,177.446972,0.135447,73.269911,0.019052,423.80297,0.021857,69.610522,0.176712
192.987792,0.435523,31.819992,0.107658,194.445295,0.28934,177.702641,0.267424,73.515625,0.114945,424.160848,0.015322,69.765242,0.158075
193.236722,0.543351,32.222307,0.184806,194.93809,0.161981,177.956316,0.32963,73.636703,0.24549,424.384774,0.033176,69.973291,0.15569
193.534761,0.300681,32.561512,0.053503,195.238565,0.230555,178.209706,0.406445,73.784217,0.354144,424.661655,0.114569,70.113295,0.098626
193.882417,0.281548,32.761922,0.131091,195.810248,0.202377,192.948962,0.121825,74.028027,0.336802,425.177756,0.016324,70.63833,0.167503
195.093294,0.509063,32.960801,0.083371,196.060065,0.184676,195.084251,0.121546,74.173179,0.386475,425.278176,0.027179,70.798335,0.152502
195.343546,0.438609,33.176659,0.099945,196.547053,0.172767,195.475676,0.071391,74.461923,0.030607,425.39348,0.040022,71.005976,0.095183
195.638874,0.39385,33.49298,0.122307,196.821094,0.169182,197.176861,0.129084,74.839812,0.055461,425.525129,0.074139,71.151897,0.115922
196.015139,0.360465,34.013048,0.136853,197.07132,0.2238,199.256888,0.120039,75.106206,0.080917,425.669948,0.054732,71.695633,0.160412
202.418843,0.289993,34.195314,0.046834,197.568257,0.169345,205.518863,0.116184,75.244491,0.340254,425.778393,0.024843,71.855376,0.135323
204.017532,0.322035,34.40512,0.155028,197.972695,0.109526,205.758392,0.098298,75.763324,0.328651,425.893879,0.045467,72.048232,0.102139
204.305293,0.371542,34.552017,0.027091,200.09028,0.111457,206.011655,0.108087,76.303208,0.022164,426.033601,0.042961,72.197708,0.144502
205.530114,0.601155,34.690617,0.102402,210.94561,0.12476,207.426476,0.115232,76.450489,0.240917,426.267786,0.042374,72.735871,0.174029
205.742664,0.517439,34.955207,0.121208,211.388032,0.123429,207.610939,0.076194,76.68352,0.127293,426.393394,0.038615,72.891627,0.173571
206.017778,0.419876,35.089347,0.125197,211.932583,0.232255,207.814216,0.074295,76.793219,0.152292,426.523804,0.015088,73.094891,0.116622
206.930961,0.335266,35.33722,0.156953,212.178794,0.111234,208.120483,0.074204,76.944116,0.38125,426.66257,0.07922,73.255235,0.164691
207.441983,0.3917,35.627369,0.165505,212.456288,0.136892,208.657253,0.064249,77.103571,0.408367,427.184572,0.024044,73.523683,0.020676
207.838281,0.322781,36.172769,0.122844,212.722289,0.148667,208.93961,0.061093,77.345183,0.409555,427.420336,0.032609,73.643848,0.036237
208.129049,0.283449,36.549647,0.12662,214.833762,0.530451,209.202852,0.125739,77.484572,0.015234,427.560457,0.017609,73.787621,0.185896
208.692101,0.38136,36.853711,0.092611,215.099223,0.507753,210.361533,0.087296,77.619596,0.439486,427.693231,0.041288,73.945925,0.325765
208.895068,0.356431,37.102909,0.153261,216.921973,0.904135,210.510001,0.093632,77.860488,0.181104,427.821349,0.019891,74.157597,0.283822
209.15805,0.435043,37.294873,0.092619,217.175984,0.502171,210.66401,0.090321,78.155233,0.040813,428.181863,0.022473,74.30577,0.095829
209.676442,0.327466,37.490541,0.167152,219.925165,0.104512,210.796879,0.068012,78.287151,0.019367,428.426938,0.033573,74.675213,0.035357
213.721191,0.372905,37.800432,0.180076,229.092955,0.186739,210.936587,0.09389,78.395535,0.057558,428.685738,0.096426,74.838095,0.214234
214.287528,0.346268,37.903967,0.025136,229.472699,0.243895,211.07577,0.094113,78.545628,0.24911,429.179527,0.020375,75.003552,0.196825
219.741448,0.342325,38.321458,0.095515,229.731114,0.355013,211.283637,0.100926,78.77787,0.378656,429.423675,0.03606,75.216255,0.181972
219.983012,0.50646,38.70793,0.126851,230.452869,0.123344,211.422699,0.09513,78.937892,0.045132,429.546039,0.029921,75.35805,0.116835
220.173993,0.281408,38.813406,0.031853,230.749553,0.283306,211.554616,0.082886,79.044696,0.017112,429.678772,0.08265,75.770221,0.026368
220.382807,0.307714,38.990273,0.055257,231.190338,0.131741,211.691614,0.087034,79.171196,0.02706,429.799039,0.042862,75.907697,0.158114
220.772063,0.554891,39.221973,0.162445,231.555988,0.121602,211.838269,0.086527,79.311969,0.262463,430.185925,0.021454,76.07127,0.179412
221.096126,0.390502,39.43276,0.070859,231.744522,0.137567,211.97921,0.076341,79.444238,0.468026,430.399977,0.035648,76.293016,0.132231
221.722371,0.301964,39.610149,0.119945,232.107886,0.1049,212.218238,0.056144,79.576846,0.037629,430.542611,0.022684,76.437419,0.109659
222.796677,0.402944,39.91469,0.132739,232.449472,0.113364,216.441531,0.050889,79.70109,0.05488,430.686628,0.083342,76.810637,0.01826
226.158756,0.404666,40.444849,0.13779,233.114245,0.103851,216.697343,0.202359,79.819515,0.198659,431.191018,0.028017,76.960665,0.141506
226.419597,0.489111,40.823678,0.145478,233.496947,0.10649,219.530324,0.111999,79.950444,0.038379,431.414936,0.033411,77.11926,0.140314
226.652921,0.465603,41.11546,0.058403,235.583576,0.111111,220.239426,0.053441,80.609397,0.139026,431.55264,0.022811,77.325348,0.156478
226.855604,0.307432,41.371904,0.122268,239.764162,0.108424,226.187273,0.067645,80.858305,0.168941,431.689999,0.064108,77.470709,0.108985
229.092026,0.362248,41.51052,0.115015,240.803675,0.110596,226.446224,0.114385,80.983061,0.161528,431.789182,0.026059,77.626632,0.05622
235.892438,0.292847,41.759612,0.174965,241.846111,0.124486,226.788731,0.087221,81.138901,0.348018,431.897709,0.07014,77.868666,0.046544
237.403359,0.296605,42.069582,0.14376,243.960228,0.128889,228.528278,0.144575,81.357516,0.403347,432.047253,0.061793,78.008823,0.176613
239.311754,0.413305,42.198746,0.027649,246.031919,0.119774,228.903397,0.070655,81.512173,0.431483,432.174705,0.020689,78.173168,0.186994
240.354751,0.462762,42.593637,0.129354,248.125306,0.111392,230.618259,0.118285,82.023949,0.028494,432.407285,0.03781,78.382177,0.189231
240.53105,0.386914,42.750278,0.0312,250.181603,0.118923,230.960467,0.062215,82.316617,0.028617,432.554401,0.019719,78.524966,0.070457
240.761722,0.36891,42.982718,0.135843,250.541987,0.142163,232.666866,0.089507,82.436803,0.212656,432.662249,0.092783,78.784975,0.055752
241.04362,0.42302,43.273681,0.084524,250.821407,0.217343,233.033279,0.073352,82.565621,0.032175,433.172345,0.025718,78.917976,0.025724
241.269904,0.687681,43.512034,0.158184,251.559324,0.306965,233.209649,0.139396,82.705887,0.036974,433.267625,0.021908,79.053914,0.197328
241.60319,0.398594,43.671579,0.111985,251.850854,0.378935,239.035912,0.051543,82.837233,0.336562,433.387298,0.035654,79.217244,0.225332
242.817221,0.286087,43.918698,0.152752,252.393441,0.186357,241.040527,0.123857,83.071269,0.017575,433.535898,0.029045,79.424183,0.215006
244.033384,0.381382,44.229738,0.164964,252.647032,0.233378,241.397183,0.107195,83.211244,0.216086,433.670108,0.113316,79.571001,0.241303
247.032326,0.346057,44.772795,0.123559,253.288308,0.104469,247.369826,0.069963,83.348651,0.029104,434.026162,0.024078,80.111557,0.216658
247.402986,0.412902,45.156133,0.13898,254.454906,0.323719,247.531335,0.063837,83.616952,0.362693,434.161964,0.02786,80.269369,0.203146
247.714572,0.389755,45.428942,0.092508,254.714954,0.185242,247.698076,0.074867,83.738622,0.025209,434.263072,0.016204,80.472586,0.106183
248.215073,0.441585,45.706306,0.129844,256.400563,0.127968,247.870239,0.125889,83.863632,0.021761,434.382843,0.04191,80.61214,0.123805
249.25466,0.281304,45.843599,0.08144,258.486553,0.129014,248.199589,0.062273,83.993341,0.328466,434.521975,0.040259,80.865503,0.022146
252.83747,0.551364,46.092311,0.119428,259.537338,0.107186,251.947994,0.129022,84.13362,0.046007,434.666431,0.103526,80.988892,0.029332
253.36979,0.421199,46.254133,0.026612,260.60385,0.121687,254.07791,0.086927,84.38079,0.322238,435.173101,0.021444,81.148944,0.181349
253.586339,0.52972,46.40213,0.125034,264.86011,0.116007,257.060698,0.098142,84.789014,0.268875,435.294671,0.018425,81.30891,0.185217
255.392525,0.589333,46.923862,0.116842,269.119297,0.10498,260.627178,0.100395,85.147618,0.01904,435.416945,0.040148,81.506622,0.197896
255.677087,0.444992,47.09731,0.026799,273.297401,0.11565,260.834611,0.051398,85.732959,0.211444,435.530658,0.017541,81.659526,0.127433
255.973048,0.379929,47.31192,0.107548,287.450489,0.214967,261.921888,0.144081,85.993335,0.017158,435.663792,0.06348,82.19006,0.201693
256.23577,0.361096,47.627281,0.056997,287.835397,0.10278,262.303913,0.097971,86.536108,0.015473,435.807565,0.018204,82.346942,0.156938
256.482056,0.305871,47.852652,0.181616,288.501529,0.215517,262.70995,0.054291,86.758748,0.018536,436.168034,0.032449,82.551542,0.175691
257.544699,0.47169,48.015166,0.107785,288.780479,0.294137,264.031449,0.113915,86.912887,0.304604,436.28409,0.027617,82.695556,0.283361
259.768654,0.403017,48.241635,0.121067,288.991249,0.219667,264.422744,0.088734,87.166482,0.28049,436.404338,0.038514,82.844247,0.046869
260.031623,0.401208,48.544234,0.152147,289.550512,0.160276,268.273882,0.077655,87.424268,0.28666,436.535669,0.056511,83.073582,0.020034
261.976437,0.306843,49.080123,0.126752,290.661046,0.35838,268.444169,0.051408,87.688926,0.234284,436.678837,0.088286,83.21327,0.207924
263.323985,0.317739,49.474057,0.144967,290.912933,0.255085,268.617938,0.087828,87.829897,0.233093,437.179988,0.020322,83.368952,0.132097
268.04361,0.441939,49.782153,0.074937,291.121984,0.373222,268.818214,0.152117,87.971556,0.020936,437.297521,0.025008,83.585083,0.257205
268.274985,0.558903,50.03285,0.111582,292.67688,0.309922,269.161021,0.081541,88.099101,0.055279,437.413773,0.03743,83.733962,0.188191
268.59971,0.529565,50.221427,0.086278,292.880982,0.206498,273.543259,0.086267,88.210724,0.198022,437.659068,0.061652,83.900729,0.026549
269.154497,0.333554,50.418247,0.135013,293.167362,0.248959,275.588726,0.113172,88.617853,0.317993,437.793948,0.036851,84.269207,0.242451
273.327207,0.542218,50.728838,0.140513,293.955496,0.110642,275.957313,0.055135,88.837671,0.037281,437.904131,0.07415,84.436694,0.246542
274.033123,0.474535,50.837955,0.038779,294.762761,0.238451,277.646878,0.101034,89.012829,0.01832,438.03974,0.087042,84.6566,0.09152
