Piece,Label SD,SD,Clave_?,Section,Clave,Bass ,Guitar,Tres,Bongo,Bell,Cajon,Conga,Trumpet,Cl_Dens,Bs_Dens,Gt_Dens,Tr_Dens,Bn_Dens,Bl_Dens,Cj_Dens,Cn_Dens,Tm_Dens
Song_3,1:1,1,1,Son,,,,,,,,,,,,,,,,,,
Song_3,1:2,2,N,Son,,,,,,,,,,,,,,,,,,
Song_3,1:3,3,N,Son,,,,,,,,,,,,,,,,,,
Song_3,1:4,4,2,Son,1.328956,,,,,,,,,,,,,,,,,
Song_3,1:5,5,N,Son,,,,,,,,,,,,,,,,,,
Song_3,1:6,6,N,Son,,,,,,,,,,,,,,,,,,
Song_3,1:7,7,N,Son,,,,,,,,,,,,,,,,,,
Song_3,1:8,8,3,Son,1.883131,,,,,,,,,,,,,,,,,
Song_3,1:9,9,N,Son,,,,,,,,,,,,,,,,,,
Song_3,1:10,10,N,Son,,,,,,,,,,,,,,,,,,
Song_3,1:11,11,4,Son,2.259942,,,,,,,,,,,,,,,,,
Song_3,1:12,12,N,Son,,,,,,,,,,,,,,,,,,
Song_3,1:13,13,5,Son,2.577327,,,,,,,,,,,,,,,,,
Song_3,1:14,14,N,Son,,,,,,,,,,,,,,,,,,
Song_3,1:15,15,N,Son,,,,,,,,,,,,,,,,,,
Song_3,1:16,16,N,Son,,,,,,,,,,,,,,,,,,
Song_3,2:1,1,1,Son,3.102112,,,,,,,,,,,,,,,,,
Song_3,2:2,2,N,Son,,,,,,,,,,,,,,,,,,
Song_3,2:3,3,N,Son,,,,,,,,,,,,,,,,,,
Song_3,2:4,4,2,Son,3.5019,,,,,,,,,2.5,,,,,,,,
Song_3,2:5,5,N,Son,,,,,,,,,,,,,,,,,,
Song_3,2:6,6,N,Son,,,,,,,,,,,,,,,,,,
Song_3,2:7,7,N,Son,,,,,,,,,,,,,,,,,,
Song_3,2:8,8,3,Son,4.051325,,,,,,,,,2.5,,,,,,,,
Song_3,2:9,9,N,Son,,,,,,,,,,,,,,,,,,
Song_3,2:10,10,N,Son,,,,,,,,,,,,,,,,,,
Song_3,2:11,11,4,Son,4.451862,,,,,,,,,2.5,,,,,,,,
Song_3,2:12,12,N,Son,,,,,,,,,,,,,,,,,,
Song_3,2:13,13,5,Son,4.771678,,,,,,,,,2.5,,,,,,,,
Song_3,2:14,14,N,Son,,,,,,,,,,,,,,,,,,
Song_3,2:15,15,N,Son,,,,,,,,,,,,,,,,,,
Song_3,2:16,16,N,Son,,,,,,,,,,,,,,,,,,
Song_3,3:1,1,1,Son,5.313674,,,,,,,,,2.5,,,,,,,,
Song_3,3:2,2,N,Son,,,,,,,,,,,,,,,,,,
Song_3,3:3,3,N,Son,,,,,,,,,,,,,,,,,,
Song_3,3:4,4,2,Son,5.70859,,,,,,,,,2.5,,,,,,,,
Song_3,3:5,5,N,Son,,,,,,,,,,,,,,,,,,
Song_3,3:6,6,N,Son,,,,,,,,,,,,,,,,,,
Song_3,3:7,7,N,Son,,,,,,,,,,,,,,,,,,
Song_3,3:8,8,3,Son,6.287152,,,,,,,,,2.5,,,,,,,,
Song_3,3:9,9,N,Son,,,,,,,,,,,,,,,,,,
Song_3,3:10,10,N,Son,,,,,,,,,,,,,,,,,,
Song_3,3:11,11,4,Son,6.690226,,,,,,,,,3,,,,,,,,
Song_3,3:12,12,N,Son,,,,,,,,,,,,,,,,,,
Song_3,3:13,13,5,Son,6.994753,,,,,,,,,3,,,,,,,,
Song_3,3:14,14,N,Son,,,,,,,,,,,,,,,,,,
Song_3,3:15,15,N,Son,,,,,,,,,,,,,,,,,,
Song_3,3:16,16,N,Son,,,,,,,,,,,,,,,,,,
Song_3,4:1,1,1,Son,7.546035,,,,,,,,,3,,,,,,,,
Song_3,4:2,2,N,Son,,,,,,,,,,,,,,,,,,
Song_3,4:3,3,N,Son,,,,,,,,,,,,,,,,,,
Song_3,4:4,4,2,Son,7.942344,,,,,,,,,3,,,,,,,,
Song_3,4:5,5,N,Son,,,,,,,,,,,,,,,,,,
Song_3,4:6,6,N,Son,,,,,,,,,,,,,,,,,,
Song_3,4:7,7,N,Son,,,,,,,,,,,,,,,,,,
Song_3,4:8,8,3,Son,8.488921,,,,,,,,,3,,,,,,,,
Song_3,4:9,9,N,Son,,,,,,,,,,,,,,,,,,
Song_3,4:10,10,N,Son,,,,,,,,,,,,,,,,,,
Song_3,4:11,11,4,Son,8.883314,,,,,,,,,2.5,,,,,,,,
Song_3,4:12,12,N,Son,,,,,,,,,,,,,,,,,,
Song_3,4:13,13,5,Son,9.19197,,,,,,,,,2.5,,,,,,,,
Song_3,4:14,14,N,Son,,,,,,,,,,,,,,,,,,
Song_3,4:15,15,N,Son,,,,,,,,,,,,,,,,,,
Song_3,4:16,16,N,Son,,,,,,,,,,,,,,,,,,
Song_3,5:1,1,1,Son,9.748964,9.764693,,,,,,,,2.5,,,,,,,,
Song_3,5:2,2,N,Son,,,,,,,,,,,,,,,,,,
Song_3,5:3,3,N,Son,,,,,,,,,,,,,,,,,,
Song_3,5:4,4,2,Son,10.152899,,,,,,,,,2.5,,,,,,,,
Song_3,5:5,5,N,Son,,,,,,,,,,,,,,,,,,
Song_3,5:6,6,N,Son,,,,,,,,,,,,,,,,,,
Song_3,5:7,7,N,Son,,,,,,,,,,,,,,,,,,
Song_3,5:8,8,3,Son,10.70881,,,,,,,,,3,,,,,,,,
Song_3,5:9,9,N,Son,,,,,,,,,,,,,,,,,,
Song_3,5:10,10,N,Son,,,,,,,,,,,,,,,,,,
Song_3,5:11,11,4,Son,11.114188,,,,,,,,,3,,,,,,,,
Song_3,5:12,12,N,Son,,,,,,,,,,,,,,,,,,
Song_3,5:13,13,5,Son,11.420896,,,,,,,,,3,,,,,,,,
Song_3,5:14,14,N,Son,,,,,,,,,,,,,,,,,,
Song_3,5:15,15,N,Son,,,,,,,,,,,,,,,,,,
Song_3,5:16,16,N,Son,,,,,,,,,,,,,,,,,,
Song_3,6:1,1,1,Son,11.963377,,,,,,,,,3,,,,,,,,
Song_3,6:2,2,N,Son,,,,,,,,,,,,,,,,,,
Song_3,6:3,3,N,Son,,,,,,,,,,,,,,,,,,
Song_3,6:4,4,2,Son,12.36014,,,,,,,,,3,,,,,,,,
Song_3,6:5,5,N,Son,,,,,,,,,,,,,,,,,,
Song_3,6:6,6,N,Son,,,,,,,,,,,,,,,,,,
Song_3,6:7,7,N,Son,,,,,,,,,,,,,,,,,,
Song_3,6:8,8,3,Son,12.917294,,,,,,,,,2.5,,,,,,,,
Song_3,6:9,9,N,Son,,,,,,,,,,,,,,,,,,
Song_3,6:10,10,N,Son,,,,,,,,,,,,,,,,,,
Song_3,6:11,11,4,Son,13.32243,,,,,,,,,2.5,,,,,,,,
Song_3,6:12,12,N,Son,,,,,,,,,,,,,,,,,,
Song_3,6:13,13,5,Son,13.654355,,,,,,,,,2.5,,,,,,,,
Song_3,6:14,14,N,Son,,,,,,,,,,,,,,,,,,
Song_3,6:15,15,N,Son,,,,,,,,,,,,,,,,,,
Song_3,6:16,16,N,Son,,,,,,,,,,,,,,,,,,
Song_3,7:1,1,1,Son,14.212725,,,,,,,,,2.5,,,,,,,,
Song_3,7:2,2,N,Son,,,,,,,,,,,,,,,,,,
Song_3,7:3,3,N,Son,,,,,,,,,,,,,,,,,,
Song_3,7:4,4,2,Son,14.612907,,,,,,,,,2.5,,,,,,,,
Song_3,7:5,5,N,Son,,,,,,,,,,,,,,,,,,
Song_3,7:6,6,N,Son,,,,,,,,,,,,,,,,,,
Song_3,7:7,7,N,Son,,,,,,,,,,,,,,,,,,
Song_3,7:8,8,3,Son,15.193626,,,,,,,,,2.5,,,,,,,,
Song_3,7:9,9,N,Son,,,,,,,,,,,,,,,,,,
Song_3,7:10,10,N,Son,,,,,,,,,,,,,,,,,,
Song_3,7:11,11,4,Son,15.644059,,,,,,,,,3,,,,,,,,
Song_3,7:12,12,N,Son,,,,,,,,,,,,,,,,,,
Song_3,7:13,13,5,Son,15.955473,,,,,,,,,3,,,,,,,,
Song_3,7:14,14,N,Son,,,,,,,,,,,,,,,,,,
Song_3,7:15,15,N,Son,,,,,,,,,,,,,,,,,,
Song_3,7:16,16,N,Son,,,,,,,,,,,,,,,,,,
Song_3,8:1,1,1,Son,16.498198,,,,,,,,,4.5,,,,,,,,
Song_3,8:2,2,N,Son,,,,,,,,,,,,,,,,,,
Song_3,8:3,3,N,Son,,,,,,,,,,,,,,,,,,
Song_3,8:4,4,2,Son,16.898011,,,,,,,,,5,,,,,,,,
Song_3,8:5,5,N,Son,,,,,,,,,,,,,,,,,,
Song_3,8:6,6,N,Son,,,,,,,,,,,,,,,,,,
Song_3,8:7,7,N,Son,,,,,,,,,,,,,,,,,,
Song_3,8:8,8,3,Son,17.455742,,,,,,,,,5,,,,,,,,
Song_3,8:9,9,N,Son,,,,,,,,,,,,,,,,,,
Song_3,8:10,10,N,Son,,,,,,,,,,,,,,,,,,
Song_3,8:11,11,4,Son,17.859393,,,,,,,,,5,,,,,,,,
Song_3,8:12,12,N,Son,,,,,,,,,,,,,,,,,,
Song_3,8:13,13,5,Son,18.178949,,,,,,,,,4.5,,,,,,,,
Song_3,8:14,14,N,Son,,,,,,,,,,,,,,,,,,
Song_3,8:15,15,N,Son,,,,,,,,,,,,,,,,,,
Song_3,8:16,16,N,Son,,,,,,,,,,,,,,,,,,
Song_3,9:1,1,1,Son,18.733942,,,,,,,,,3.5,,,,,,,,
Song_3,9:2,2,N,Son,,,,,,,,,,,,,,,,,,
Song_3,9:3,3,N,Son,,,,,,,,,,,,,,,,,,
Song_3,9:4,4,2,Son,19.10654,,,,,,,,,3,,,,,,,,
Song_3,9:5,5,N,Son,,,,,,,,,,,,,,,,,,
Song_3,9:6,6,N,Son,,,,,,,,,,,,,,,,,,
Song_3,9:7,7,N,Son,,,,,,,,,,,,,,,,,,
Song_3,9:8,8,3,Son,19.650701,,,,,,,,,3,,,,,,,,
Song_3,9:9,9,N,Son,,,,,,,,,,,,,,,,,,
Song_3,9:10,10,N,Son,,,,,,,,,,,,,,,,,,
Song_3,9:11,11,4,Son,20.067491,,,,,,,,,3,,,,,,,,
Song_3,9:12,12,N,Son,,,,,,,,,,,,,,,,,,
Song_3,9:13,13,5,Son,20.373221,,,,,,,,,3,,,,,,,,
Song_3,9:14,14,N,Son,,,,,,,,,,,,,,,,,,
Song_3,9:15,15,N,Son,,,,,,,,,,,,,,,,,,
Song_3,9:16,16,N,Son,,,,,,,,,,,,,,,,,,
Song_3,10:1,1,1,Son,20.93278,,,,,,,,,3.5,,,,,,,,
Song_3,10:2,2,N,Son,,,,,,,,,,,,,,,,,,
Song_3,10:3,3,N,Son,,,,,,,,,,,,,,,,,,
Song_3,10:4,4,2,Son,21.315077,,,,,,,,,4,,,,,,,,
Song_3,10:5,5,N,Son,,,,,,,,,,,,,,,,,,
Song_3,10:6,6,N,Son,,,,,,,,,,,,,,,,,,
Song_3,10:7,7,N,Son,,,,,,,,,,,,,,,,,,
Song_3,10:8,8,3,Son,21.860302,,,,,,,,,4,,,,,,,,
Song_3,10:9,9,N,Son,,,,,,,,,,,,,,,,,,
Song_3,10:10,10,N,Son,,,,,,,,,,,,,,,,,,
Song_3,10:11,11,4,Son,22.268802,,,,,,,,,3.5,,,,,,,,
Song_3,10:12,12,N,Son,,,,,,,,,,,,,,,,,,
Song_3,10:13,13,5,Son,22.576677,,,,,,,,,3,,,,,,,,
Song_3,10:14,14,N,Son,,,,,,,,,,,,,,,,,,
Song_3,10:15,15,N,Son,,,,,,,,,,,,,,,,,,
Song_3,10:16,16,N,Son,,,,,,,,,,,,,,,,,,
Song_3,11:1,1,1,Son,23.095976,,,,,,,,,2.5,,,,,,,,
Song_3,11:2,2,N,Son,,,,,,,,,,,,,,,,,,
Song_3,11:3,3,N,Son,,,,,,,,,,,,,,,,,,
Song_3,11:4,4,2,Son,23.488959,,,,,,,,,2.5,,,,,,,,
Song_3,11:5,5,N,Son,,,,,,,,,,,,,,,,,,
Song_3,11:6,6,N,Son,,,,,,,,,,,,,,,,,,
Song_3,11:7,7,N,Son,,,,,,,,,,,,,,,,,,
Song_3,11:8,8,3,Son,24.035951,,,,,,,,,2.5,,,,,,,,
Song_3,11:9,9,N,Son,,,,,,,,,,,,,,,,,,
Song_3,11:10,10,N,Son,,,,,,,,,,,,,,,,,,
Song_3,11:11,11,4,Son,24.445958,,,,,,,,,3,,,,,,,,
Song_3,11:12,12,N,Son,,,,,,,,,,,,,,,,,,
Song_3,11:13,13,5,Son,24.758913,,,,,,,,,3,,,,,,,,
Song_3,11:14,14,N,Son,,,,,,,,,,,,,,,,,,
Song_3,11:15,15,N,Son,,,,,,,,,,,,,,,,,,
Song_3,11:16,16,N,Son,,,,,,,,,,,,,,,,,,
Song_3,12:1,1,1,Son,25.280393,,,,,,,,,3.5,,,,,,,,
Song_3,12:2,2,N,Son,,,,,,,,,,,,,,,,,,
Song_3,12:3,3,N,Son,,,,,,,,,,,,,,,,,,
Song_3,12:4,4,2,Son,25.671387,,,,,,,,,4,,,,,,,,
Song_3,12:5,5,N,Son,,,,,,,,,,,,,,,,,,
Song_3,12:6,6,N,Son,,,,,,,,,,,,,,,,,,
Song_3,12:7,7,N,Son,,,,,,,,,,,,,,,,,,
Song_3,12:8,8,3,Son,26.210936,,,,,,,,,4.5,,,,,,,,
Song_3,12:9,9,N,Son,,,,,,,,,,,,,,,,,,
Song_3,12:10,10,N,Son,,,,,,,,,,,,,,,,,,
Song_3,12:11,11,4,Son,26.610912,,,,,,,,,4,,,,,,,,
Song_3,12:12,12,N,Son,,,,,,,,,,,,,,,,,,
Song_3,12:13,13,5,Son,26.925848,,,,,,,,,3.5,,,,,,,,
Song_3,12:14,14,N,Son,,,,,,,,,,,,,,,,,,
Song_3,12:15,15,N,Son,,,,,,,,,,,,,,,,,,
Song_3,12:16,16,N,Son,,,,,,,,,,,,,,,,,,
Song_3,13:1,1,1,Son,27.457401,,,,,,,,,3.5,,,,,,,,
Song_3,13:2,2,N,Son,,,,,,,,,,,,,,,,,,
Song_3,13:3,3,N,Son,,,,,,,,,,,,,,,,,,
Song_3,13:4,4,2,Son,27.854194,,,,,,,,,2.5,,,,,,,,
Song_3,13:5,5,N,Son,,,,,,,,,,,,,,,,,,
Song_3,13:6,6,N,Son,,,,,,,,,,,,,,,,,,
Song_3,13:7,7,N,Son,,,,,,,,,,,,,,,,,,
Song_3,13:8,8,3,Son,28.38904,,,,,,,,,2.5,,,,,,,,
Song_3,13:9,9,N,Son,,,,,,,,,,,,,,,,,,
Song_3,13:10,10,N,Son,,,,,,,,,,,,,,,,,,
Song_3,13:11,11,4,Son,28.802799,,,,,,,,,3,,,,,,,,
Song_3,13:12,12,N,Son,,,,,,,,,,,,,,,,,,
Song_3,13:13,13,5,Son,29.110689,,,,,,,,,3,,,,,,,,
Song_3,13:14,14,N,Son,,,,,,,,,,,,,,,,,,
Song_3,13:15,15,N,Son,,,,,,,,,,,,,,,,,,
Song_3,13:16,16,N,Son,,,,,,,,,,,,,,,,,,
Song_3,14:1,1,1,Son,29.647372,,,,,,,,,3,,,,,,,,
Song_3,14:2,2,N,Son,,,,,,,,,,,,,,,,,,
Song_3,14:3,3,N,Son,,,,,,,,,,,,,,,,,,
Song_3,14:4,4,2,Son,30.030502,,,,,,,,,3.5,,,,,,,,
Song_3,14:5,5,N,Son,,,,,,,,,,,,,,,,,,
Song_3,14:6,6,N,Son,,,,,,,,,,,,,,,,,,
Song_3,14:7,7,N,Son,,,,,,,,,,,,,,,,,,
Song_3,14:8,8,3,Son,30.582152,,,,,,,,,4,,,,,,,,
Song_3,14:9,9,N,Son,,,,,,,,,,,,,,,,,,
Song_3,14:10,10,N,Son,,,,,,,,,,,,,,,,,,
Song_3,14:11,11,4,Son,30.995736,,,,,,,,,3.5,,,,,,,,
Song_3,14:12,12,N,Son,,,,,,,,,,,,,,,,,,
Song_3,14:13,13,5,Son,31.307523,,,,,,,,,3.5,,,,,,,,
Song_3,14:14,14,N,Son,,,,,,,,,,,,,,,,,,
Song_3,14:15,15,N,Son,,,,,,,,,,,,,,,,,,
Song_3,14:16,16,N,Son,,,,,,,,,,,,,,,,,,
Song_3,15:1,1,1,Son,31.819992,,,,,,,,,3,,,,,,,,
Song_3,15:2,2,N,Son,,,,,,,,,,,,,,,,,,
Song_3,15:3,3,N,Son,,,,,,,,,,,,,,,,,,
Song_3,15:4,4,2,Son,32.222307,,,,,,,,,2.5,,,,,,,,
Song_3,15:5,5,N,Son,,,,,,,,,,,,,,,,,,
Song_3,15:6,6,N,Son,,,,,,,,,,,,,,,,,,
Song_3,15:7,7,N,Son,,,,,,,,,,,,,,,,,,
Song_3,15:8,8,3,Son,32.761922,,,,,,,32.776743,,3,,,,,,,,
Song_3,15:9,9,N,Son,,,,32.90924,,,,32.949373,,,,,0.5,,,,,
Song_3,15:10,10,N,Son,,,,,,,,,,,,,,,,,,
Song_3,15:11,11,4,Son,33.176659,,,,,,,,,3.5,,,,,,,,
Song_3,15:12,12,N,Son,,,,,,,,,,,,,,,,,,
Song_3,15:13,13,5,Son,33.49298,,,,,,,,,3.5,,,,,,,,
Song_3,15:14,14,N,Son,,,,,,,,,,,,,,,,,,
Song_3,15:15,15,N,Son,,,,,,,,,,,,,,,,,,
Song_3,15:16,16,N,Son,,,,33.867264,,,,,,,,,1,,,,,
Song_3,16:1,1,1,Son,34.013048,,,,,,,,,3.5,,,,,,,,
Song_3,16:2,2,N,Son,,,,,,,,,,,,,,,,,,
Song_3,16:3,3,N,Son,,,,,,,,,,,,,,,,,,
Song_3,16:4,4,2,Son,34.40512,,,,,,,,,4,,,,,,,,
Song_3,16:5,5,N,Son,,,,,,,,,,,,,,,,,,
Song_3,16:6,6,N,Son,,,,,,,,34.687348,,,,,,,,,1.5,
Song_3,16:7,7,N,Son,,,,,,,,,,,,,,,,,,
Song_3,16:8,8,3,Son,34.955207,,,,,,,34.914248,,4.5,,,,,,,1.5,
Song_3,16:9,9,N,Son,,,,,,,,35.084641,,,,,,,,,1.5,
Song_3,16:10,10,N,Son,,,,,,,,,,,,,,,,,,
Song_3,16:11,11,4,Son,35.33722,,,,,,,,,4.5,,,,,,,,
Song_3,16:12,12,N,Son,,,,,,,,,,,,,,,,,,
Song_3,16:13,13,5,Son,35.627369,,,,,,,,,4.5,,,,,,,,
Song_3,16:14,14,N,Son,,,,,,,,,,,,,,,,,,
Song_3,16:15,15,N,Son,,,,,,,,,,,,,,,,,,
Song_3,16:16,16,N,Son,,,,,,,,,,,,,,,,,,
Song_3,17:1,1,1,Son,36.172769,,,,,,,,,4.5,,,,,,,,
Song_3,17:2,2,N,Son,,,,,,,,,,,,,,,,,,
Song_3,17:3,3,N,Son,,,,,,,,,,,,,,,,,,
Song_3,17:4,4,2,Son,36.549647,,,,,,,,,4,,,,,,,,
Song_3,17:5,5,N,Son,,,,,,,,,,,,,,,,,,
Song_3,17:6,6,N,Son,,,,,,,,36.84861,,,,,,,,,1.5,
Song_3,17:7,7,N,Son,,,,,,,,,,,,,,,,,,
Song_3,17:8,8,3,Son,37.102909,,,,,,,37.068659,,3,,,,,,,1.5,
Song_3,17:9,9,N,Son,,,,,,,,37.24615,,,,,,,,,1.5,
Song_3,17:10,10,N,Son,,,,,,,,,,,,,,,,,,
Song_3,17:11,11,4,Son,37.490541,,,,,,,,,3.5,,,,,,,,
Song_3,17:12,12,N,Son,,,,,,,,,,,,,,,,,,
Song_3,17:13,13,5,Son,37.800432,,,,,,,,,3.5,,,,,,,,
Song_3,17:14,14,N,Son,,,,,,,,,,,,,,,,,,
Song_3,17:15,15,N,Son,,,,,,,,,,,,,,,,,,
Song_3,17:16,16,N,Son,,,,,,,,,,,,,,,,,,
Song_3,18:1,1,1,Son,38.321458,,,,,,,,,4,,,,,,,,
Song_3,18:2,2,N,Son,,,,,,,,,,,,,,,,,,
Song_3,18:3,3,N,Son,,,,,,,,,,,,,,,,,,
Song_3,18:4,4,2,Son,38.70793,,,,,,,,,4,,,,,,,,
Song_3,18:5,5,N,Son,,,,,,,,,,,,,,,,,,
Song_3,18:6,6,N,Son,,,,,,,,38.979647,,,,,,,,,1.5,
Song_3,18:7,7,N,Son,,,,,,,,,,,,,,,,,,
Song_3,18:8,8,3,Son,39.221973,,,,,,,39.214035,,4.5,,,,,,,1.5,
Song_3,18:9,9,N,Son,,,,,,,,39.381664,,,,,,,,,1.5,
Song_3,18:10,10,N,Son,,,,,,,,,,,,,,,,,,
Song_3,18:11,11,4,Son,39.610149,,,,,,,,,4.5,,,,,,,,
Song_3,18:12,12,N,Son,,,,,,,,,,,,,,,,,,
Song_3,18:13,13,5,Son,39.91469,,,,,,,,,4,,,,,,,,
Song_3,18:14,14,N,Son,,,,,,,,,,,,,,,,,,
Song_3,18:15,15,N,Son,,,,,,,,,,,,,,,,,,
Song_3,18:16,16,N,Son,,,,,,,,,,,,,,,,,,
Song_3,19:1,1,1,Son,40.444849,,,,,,,,,4,,,,,,,,
Song_3,19:2,2,N,Son,,,,,,,,,,,,,,,,,,
Song_3,19:3,3,N,Son,,,,,,,,,,,,,,,,,,
Song_3,19:4,4,2,Son,40.823678,,,,,,,,,3.5,,,,,,,,
Song_3,19:5,5,N,Son,,,,,,,,,,,,,,,,,,
Song_3,19:6,6,N,Son,,,,,,,,41.107672,,,,,,,,,1.5,
Song_3,19:7,7,N,Son,,,,,,,,,,,,,,,,,,
Song_3,19:8,8,3,Son,41.371904,,,,,,,41.33508,,3.5,,,,,,,1.5,
Song_3,19:9,9,N,Son,,41.543757,,41.522511,,,,41.505709,,,2,,0.5,,,,1.5,
Song_3,19:10,10,N,Son,,,,,,,,,,,,,,,,,,
Song_3,19:11,11,4,Son,41.759612,,,,,,,,,3.5,,,,,,,,
Song_3,19:12,12,N,Son,,,,,,,,,,,,,,,,,,
Song_3,19:13,13,5,Son,42.069582,,,42.046681,,,,,,3.5,,,1,,,,,
Song_3,19:14,14,N,Son,,,,,,,,,,,,,,,,,,
Song_3,19:15,15,N,Son,,,,,,,,,,,,,,,,,,
Song_3,19:16,16,N,Son,,,,42.437532,,,,,,,,,1.5,,,,,
Song_3,20:1,1,1,Son,42.593637,,,,,,,,,4,,,,,,,,
Song_3,20:2,2,N,Son,,,,,,,,,,,,,,,,,,
Song_3,20:3,3,N,Son,,,,,,,,,,,,,,,,,,
Song_3,20:4,4,2,Son,42.982718,,,,,,,,,4.5,,,,,,,,
Song_3,20:5,5,N,Son,,,,,,,,,,,,,,,,,,
Song_3,20:6,6,N,Son,,,,,,,,43.26602,,,,,,,,,1.5,
Song_3,20:7,7,N,Son,,,,,,,,,,,,,,,,,,
Song_3,20:8,8,3,Son,43.512034,,,,,,,43.498843,,4,,,,,,,1.5,
Song_3,20:9,9,N,Son,,,,,,,,43.668435,,,,,,,,,1.5,
Song_3,20:10,10,N,Son,,,,,,,,,,,,,,,,,,
Song_3,20:11,11,4,Son,43.918698,,,,,,,,,4.5,,,,,,,,
Song_3,20:12,12,N,Son,,,,,,,,,,,,,,,,,,
Song_3,20:13,13,5,Son,44.229738,,,,,,,,,4,,,,,,,,
Song_3,20:14,14,N,Son,,,,,,,,,,,,,,,,,,
Song_3,20:15,15,N,Son,,,,,,,,,,,,,,,,,,
Song_3,20:16,16,N,Son,,,,,,,,,,,,,,,,,,
Song_3,21:1,1,1,Son,44.772795,,,,,,,,,3.5,,,,,,,,
