Frame,Time,X,Y
0,0,173,159
1,0.04,173.000459,158.99413
2,0.08,173.014916,158.99509
3,0.12,172.989371,158.965166
4,0.16,172.953169,158.961999
5,0.2,172.83198,158.962986
6,0.24,172.770958,159.077465
7,0.28,172.700326,159.167177
8,0.32,172.623648,159.343476
9,0.36,172.699246,159.488537
10,0.4,172.831315,159.718619
11,0.44,172.943858,159.833306
12,0.48,172.872595,159.876442
13,0.52,172.817234,159.901448
14,0.56,172.774181,160.040173
15,0.6,172.779492,160.197161
16,0.64,172.775886,160.393597
17,0.68,172.791711,160.514833
18,0.72,172.773011,160.618016
19,0.76,172.792357,160.628971
20,0.8,172.756619,160.675679
21,0.84,172.644807,160.711441
22,0.88,172.388453,160.746601
23,0.92,172.068323,160.779689
24,0.96,171.58183,160.682216
25,1,171.126537,160.469365
26,1.04,170.871111,160.385117
27,1.08,170.894238,160.30167
28,1.12,170.911967,160.230004
29,1.16,170.792931,160.175046
30,1.2,170.468462,160.130907
31,1.24,170.083039,160.02416
32,1.28,169.733953,159.940262
33,1.32,169.404959,159.863803
34,1.36,169.113409,159.880839
35,1.4,168.840586,159.817551
36,1.44,168.624251,159.861509
37,1.48,168.525113,159.857874
38,1.52,168.447415,159.804597
39,1.56,168.374154,159.755715
40,1.6,168.330132,159.742449
41,1.64,168.300892,159.696874
42,1.68,168.294042,159.705174
43,1.72,168.311962,159.668033
44,1.76,168.326544,159.640468
45,1.8,168.406352,159.591454
46,1.84,168.544986,159.585558
47,1.88,168.730065,159.387278
48,1.92,169.051321,159.23097
49,1.96,169.464796,158.993609
50,2,169.742718,158.784063
51,2.04,169.833602,158.681276
52,2.08,169.88214,158.621968
53,2.12,169.975292,158.603721
54,2.16,170.091465,158.59103
55,2.2,170.266965,158.553163
56,2.24,170.454161,158.580501
57,2.28,170.639726,158.535991
58,2.32,170.838431,158.515531
59,2.36,171.02211,158.430853
60,2.4,171.275366,158.332886
61,2.44,171.69855,158.230139
62,2.48,172.186659,158.216805
63,2.52,172.724328,158.148933
64,2.56,173.116016,158.147828
65,2.6,173.172716,158.197409
66,2.64,173.1874,158.377711
67,2.68,173.266847,158.66264
68,2.72,173.334477,158.931596
69,2.76,173.447241,159.190116
70,2.8,173.554229,159.499963
71,2.84,173.711949,159.541485
72,2.88,173.856999,159.575923
73,2.92,174.022826,159.549659
74,2.96,174.130323,159.619586
75,3,174.250141,159.67984
76,3.04,174.460549,159.840574
77,3.08,174.772897,160.056557
78,3.12,175.063977,160.264223
79,3.16,175.04469,160.271839
80,3.2,174.88553,160.193306
81,3.24,174.900502,160.062818
82,3.28,175.070959,159.863355
83,3.32,175.374199,159.712383
84,3.36,175.664158,159.558839
85,3.4,175.908304,159.451451
86,3.44,176.082674,159.421924
87,3.48,176.251297,159.322289
88,3.52,176.476127,159.370985
89,3.56,176.749988,159.272095
90,3.6,176.897555,159.394372
