Frame,Time,X,Y
0,0,160,146
1,0.04,159.983598,145.999232
2,0.08,160.011109,146.0314
3,0.12,160.051761,146.038929
4,0.16,160.066387,146.104174
5,0.2,159.991056,146.093065
6,0.24,159.893622,146.162211
7,0.28,159.786091,146.129689
8,0.32,159.580896,146.210418
9,0.36,159.334427,146.200767
10,0.4,158.840062,146.325191
11,0.44,158.255845,146.376975
12,0.48,157.52082,146.496609
13,0.52,156.692504,146.495945
14,0.56,155.734898,146.608829
15,0.6,154.879558,146.664851
16,0.64,154.013941,146.874877
17,0.68,153.390845,146.974394
18,0.72,152.681093,147.199428
19,0.76,152.112298,147.239344
20,0.8,151.609516,147.393649
21,0.84,151.125643,147.495455
22,0.88,150.64657,147.529984
23,0.92,150.269073,147.524914
24,0.96,149.941586,147.567903
25,1,149.744461,147.513291
26,1.04,149.732757,147.52809
27,1.08,149.803425,147.511658
28,1.12,149.922481,147.615927
29,1.16,150.034938,147.671585
30,1.2,150.15799,147.760785
31,1.24,150.266562,147.702738
32,1.28,150.280787,147.637491
33,1.32,150.330978,147.454459
34,1.36,150.334573,147.298353
35,1.4,150.397875,147.124706
36,1.44,150.582959,146.995051
37,1.48,150.763342,146.785981
38,1.52,151.067949,146.612838
39,1.56,151.577839,146.446987
40,1.6,152.176474,146.38612
41,1.64,152.751184,146.272382
42,1.68,153.35591,146.260934
43,1.72,153.97378,146.222668
44,1.76,154.282026,146.238723
45,1.8,154.535819,146.195124
46,1.84,154.778967,146.216091
47,1.88,154.918995,146.081334
48,1.92,154.966662,146.021872
49,1.96,154.966796,145.873907
50,2,154.943839,145.798412
51,2.04,154.946742,145.668973
52,2.08,154.93343,145.642078
53,2.12,154.941519,145.571724
54,2.16,155.011455,145.623132
55,2.2,155.180195,145.63936
56,2.24,155.297017,145.837497
57,2.28,155.478317,145.90788
58,2.32,155.564006,146.050398
59,2.36,155.591241,146.024146
60,2.4,155.613884,146.001254
61,2.44,155.735688,145.915762
62,2.48,155.711433,145.933886
63,2.52,155.88494,145.915571
64,2.56,156.019596,146.032755
65,2.6,156.280312,146.087174
66,2.64,156.56754,146.182083
67,2.68,156.968018,146.236317
68,2.72,157.317913,146.444277
69,2.76,157.901468,146.64493
70,2.8,158.598483,146.948502
71,2.84,159.366251,147.113353
72,2.88,160.034443,147.366243
73,2.92,160.673434,147.401099
74,2.96,161.062604,147.505166
75,3,161.449248,147.535314
