Frame,Time,X,Y
0,0,173,134
1,0.04,172.993632,133.987212
2,0.08,172.977194,133.996326
3,0.12,173.034551,133.945196
4,0.16,173.048839,133.900478
5,0.2,173.110331,133.73646
6,0.24,173.238534,133.653252
7,0.28,173.493776,133.537231
8,0.32,173.886341,133.559149
9,0.36,174.446954,133.578339
10,0.4,175.107518,133.70703
11,0.44,175.899468,133.716017
12,0.48,176.660267,133.889558
13,0.52,177.475593,133.927668
14,0.56,178.331907,133.990916
15,0.6,179.309912,133.965856
16,0.64,180.475774,134.089288
17,0.68,181.796521,134.087788
18,0.72,183.070843,134.133201
19,0.76,184.262284,133.90778
20,0.8,185.116157,133.54764
21,0.84,185.621375,132.930972
22,0.88,185.97196,132.583748
23,0.92,186.18772,132.249635
24,0.96,186.373384,132.050358
25,1,186.578534,131.693417
26,1.04,186.62991,131.401734
27,1.08,186.645646,131.296384
28,1.12,186.744381,131.53513
29,1.16,186.783307,131.739716
30,1.2,186.828164,131.935031
31,1.24,186.742245,131.816308
32,1.28,186.438968,131.579451
33,1.32,185.987966,131.056705
34,1.36,185.27015,130.721985
35,1.4,184.393508,130.22136
36,1.44,183.287331,130.102232
37,1.48,182.096094,130.076331
38,1.52,180.919298,130.215856
39,1.56,179.7485,130.289201
40,1.6,178.639688,130.843009
41,1.64,177.319067,131.330013
42,1.68,176.02884,131.741461
43,1.72,174.681113,131.851723
44,1.76,173.388775,131.947934
45,1.8,172.338684,131.795048
46,1.84,171.417191,131.608608
47,1.88,170.711375,131.179301
48,1.92,170.208715,131.012229
49,1.96,169.926289,130.929978
50,2,169.882475,131.168745
51,2.04,169.964814,131.552199
52,2.08,170.240177,132.106176
53,2.12,170.587753,132.641783
54,2.16,170.939629,133.173967
55,2.2,171.277059,133.472121
56,2.24,171.508135,133.679035
57,2.28,171.676414,133.662126
58,2.32,171.847915,133.622999
59,2.36,172.07171,133.418063
60,2.4,172.285765,133.399867
61,2.44,172.588054,133.269917
62,2.48,173.046624,133.201697
63,2.52,173.593348,133.029674
64,2.56,174.248459,132.908066
65,2.6,174.987663,132.627388
66,2.64,175.741915,132.424621
67,2.68,176.658746,132.072955
68,2.72,177.629418,131.768942
69,2.76,178.665003,131.418983
70,2.8,179.835189,131.175878
71,2.84,181.136713,130.81565
72,2.88,182.596694,130.630585
73,2.92,184.065937,130.263893
74,2.96,185.586617,129.999221
75,3,186.996634,129.648538
76,3.04,188.202764,129.389448
77,3.08,189.304758,129.048799
78,3.12,190.25314,129.003052
79,3.16,191.150397,128.840836
80,3.2,192.099767,128.817053
81,3.24,192.812811,128.486093
82,3.28,193.18749,128.146829
83,3.32,193.200294,127.539455
84,3.36,192.95549,126.953822
85,3.4,192.529158,126.20506
86,3.44,191.936139,125.794624
87,3.48,191.244841,125.280182
88,3.52,190.492347,125.112769
89,3.56,189.697573,125.033343
90,3.6,188.800228,125.258828
91,3.64,188.092386,125.555917
92,3.68,187.544739,126.285832
93,3.72,187.316898,127.130573
94,3.76,187.443568,128.117381
95,3.8,188.013676,128.746582
