Tier,Start Time,End Time,Duration,Annotation
Head Interaction,233.7,276.8,43.1,Synched head and shoulder movement: Bass (Michel Salazar ); Congas (Vicente); Bongos/bell (Juan)
Head Interaction,344,398.8,54.8,Synched Head and shoulder movement: Bass (Michel Salazar ); Congas (Vicente); Bongo/bell (Juan)
Son/Montuno,2.65,20,17.35,Intro
Son/Montuno,20,116.5,96.5,Son
Son/Montuno,116.5,408.7,292.2,Montuno
Verse/Chrous,20.01,41,20.99,Verse 1
Verse/Chrous,41,76.25,35.25,Verse 2
Verse/Chrous,76.25,93,16.75,Verse 3
Verse/Chrous,93,116.5,23.5,Chorus
Verse/Chrous,116.5,144.2,27.7,Chorus with Improvisations
Verse/Chrous,144.2,203.2,59,Conga solo
Verse/Chrous,203.2,408.7,205.5,Chorus with improvisations
