Cycle,Time
1,8.765333333
2,11.05066667
3,13.38666667
4,15.67733333
5,18.00333333
6,20.33066667
7,22.64533333
8,24.94333333
9,27.3
10,29.59166667
11,31.92333333
12,34.29
13,36.61833333
14,38.97
15,41.33166667
16,43.65483333
17,45.97085417
18,48.29333333
19,50.6531875
20,52.99333333
21,55.29014583
22,57.66
23,60.02910417
24,62.34666667
25,64.744
26,67.14133333
27,69.472
28,71.905
29,74.21833333
30,76.576
31,78.92833333
32,81.21666667
33,83.60154167
34,85.932
35,88.285
36,90.61666667
37,92.90666667
38,95.35089583
39,97.75166667
40,100.0879583
41,102.4066667
42,104.805
43,107.2133333
44,109.3655208
45,111.7516667
46,114.0883333
47,116.4333333
48,118.828625
49,121.1916667
50,123.5546667
51,125.9116667
52,128.2433333
53,130.5883333
54,132.9266667
55,135.2733333
56,137.61
57,139.9333333
58,142.285
59,144.5733333
60,146.8383333
61,149.115
62,151.3733333
63,153.65
64,155.91
65,158.185
66,160.4233333
67,162.685
68,164.935
69,167.21
70,169.4533333
71,171.68
72,173.91
73,176.0983333
74,178.3383333
75,180.5783333
76,182.8383333
77,185.0916667
78,187.3333333
79,189.5966667
80,191.84
81,194.0883333
82,196.3816667
83,198.6716667
84,200.9316667
85,203.2416667
86,205.5516667
87,207.831
88,210.14
89,212.4533333
90,214.77
91,217.0766667
92,219.3683333
93,221.6816667
94,224.0033333
95,226.2816667
96,228.4983333
97,230.804
98,233.0533333
99,235.3666667
100,237.7433333
101,240.0383333
102,242.3216667
103,244.62
104,246.9
105,249.136125
106,251.4418542
107,253.6983333
108,255.95
109,258.22
110,260.4966667
111,262.735
112,265.0116667
113,267.2933333
114,269.5397292
115,271.775
116,274.0283333
117,276.2533333
118,278.5666667
119,280.8533333
120,283.1566667
121,285.3682083
122,287.6666667
123,289.9516667
124,292.2
125,294.4783333
126,296.765
127,299.0216667
128,301.29
129,303.5516667
130,305.83
131,308.0633333
132,310.3856667
133,312.6683333
134,314.9316667
135,317.1833333
136,319.47
137,321.7383333
138,324.015
139,326.2866667
140,328.5616667
141,330.7816667
142,332.99
143,335.2116667
144,337.4366667
145,339.5066667
146,341.885
147,344.1033333
148,346.31
149,348.4833333
150,350.6783333
151,352.8616667
152,355.055
153,357.2516667
154,359.4616667
155,361.6516667
156,363.905
157,366.0921875
158,368.365
159,370.6083333
160,372.9016667
161,375.1475
162,377.4216667
163,379.6533333
164,381.92
165,384.154375
166,386.4183333
167,388.633
168,390.9066667
169,393.1766667
170,395.4483333
171,397.7016667
172,400.08
