Piece,Label SD,SD,Clave_?,Section,Clave,Bass ,Guitar,Tres,Bongo,Bell,Cajon,Conga,Trumpet,Cl_Dens,Bs_Dens,Gt_Dens,Tr_Dens,Bn_Dens,Bl_Dens,Cj_Dens,Cn_Dens,Tm_Dens
Song_5,1:1,1,N,Son,,8.784261,8.798588,,,,,,,,3,6,,,,,,
Song_5,1:2,2,N,Son,,,,,,,,8.892341,8.945571,,,,,,,,5,3.5
Song_5,1:3,3,4,Son,,,9.029582,,9.04625,,,9.008469,,,,6,,3.5,,,5.5,
Song_5,1:4,4,N,Son,,9.204563,9.215265,,9.201291,,,9.172007,9.190667,,3,6,,4,,,5.5,3.5
Song_5,1:5,5,5,Son,,,9.353984,,9.360069,,,,,,,6,,4,,,,
Song_5,1:6,6,N,Son,,,9.50007,,9.493378,,,9.467721,,,,6,,4,,,5,
Song_5,1:7,7,N,Son,,9.612369,9.62838,9.601874,9.610428,,,9.601376,9.599278,,3,6.5,2,4.5,,,5.5,3.5
Song_5,1:8,8,N,Son,,,9.785545,9.772194,9.77433,,,9.768245,9.779045,,,6,2,5,,,5.5,3.5
Song_5,1:9,9,1,Son,,9.912396,9.9465,,,,,,,,3,6,,,,,,
Song_5,1:10,10,N,Son,,,10.076892,10.059005,10.049249,,,10.049256,10.062511,,,6.5,2,5.5,,,5,3.5
Song_5,1:11,11,N,Son,,,10.206335,,10.199018,,,10.177061,,,,6.5,,6,,,5.5,
Song_5,1:12,12,2,Son,,10.319995,10.371405,10.345992,10.357414,,,10.338708,10.340273,,3,6.5,2.5,6,,,5.5,3.5
Song_5,1:13,13,N,Son,,,10.514366,,,,,,,,,6.5,,,,,,
Song_5,1:14,14,N,Son,,,10.656491,10.665773,10.652535,,,10.622955,10.610337,,,6.5,2.5,5.5,,,5,4
Song_5,1:15,15,3,Son,,10.753438,10.783149,10.801077,10.779132,,,10.755538,,,3,7,3,6,,,5.5,
Song_5,1:16,16,N,Son,,,10.951632,10.955074,10.933665,,,10.913601,,,,7,3.5,6.5,,,5.5,
Song_5,2:1,1,N,Son,,11.090976,11.092213,,11.070304,,,,,,3,7,,6.5,,,,
Song_5,2:2,2,N,Son,,,,,11.206984,,,11.204962,11.237187,,,,,6.5,,,5,3.5
Song_5,2:3,3,4,Son,,,11.359135,,11.343849,,,11.32767,,,,6.5,,7,,,5.5,
