Bass,Bass peak,Clave,Clave peak,Guitar,Guitar peak,Tres,Tres peak,Bongos,Bongos peak,Bell,Bell peak,Cajon,Cajon peak,Conga,Conga peak,Trumpet,Trumpet peak
19.566519,0.453116,38.474686,0.032845,11.678754,0.440463,15.093953,0.146635,13.068548,0.169296,125.327696,0.354471,191.120274,0.734328,11.914218,0.418285,17.270636,0.364201
19.950183,0.648297,38.667047,0.043986,11.942896,0.471853,15.471267,0.154036,13.172038,0.170966,125.574051,0.080483,192.247778,0.853078,12.084847,0.502593,17.543654,0.172726
20.90077,0.596395,38.853293,0.038674,12.104015,0.316558,15.630948,0.280795,13.252407,0.14933,125.739188,0.097108,195.638168,0.839924,12.375166,0.039172,17.69321,0.267182
21.183974,0.587368,38.973251,0.052284,12.380654,0.318555,15.786424,0.107638,13.382961,0.229301,125.909173,0.349852,196.778049,0.663644,12.497183,0.104861,17.833515,0.196014
22.113902,0.533639,39.249213,0.064363,12.519224,0.258616,16.072922,0.426233,13.650635,0.177376,126.495764,0.431462,198.375976,0.780753,12.655687,0.024522,17.977849,0.342584
23.214463,0.548911,39.55294,0.081056,12.680481,0.30472,16.672416,0.393894,13.808984,0.082654,126.753688,0.069869,198.649718,0.945383,12.944749,0.052705,18.236236,0.278208
23.500198,0.506732,39.971627,0.030656,12.826841,0.152178,17.270966,0.352874,13.964898,0.053091,126.917756,0.114577,203.196556,0.914363,13.081265,0.516531,18.4006,0.262358
23.852063,0.459628,40.978891,0.068815,13.097351,0.397813,17.706077,0.291557,14.103225,0.069225,127.084792,0.346413,204.802192,0.850372,13.241674,0.523764,18.679658,0.185553
24.260476,0.619818,43.335337,0.034955,13.264328,0.249411,17.977725,0.239565,14.223089,0.116026,127.66387,0.341368,205.999568,0.751065,13.385321,0.02071,18.82733,0.234961
24.671653,0.510573,44.489286,0.042146,13.512948,0.269002,18.129234,0.145442,14.379723,0.151327,127.931227,0.095162,208.083702,0.637056,13.524172,0.035283,19.013979,0.224502
25.410362,0.561765,45.665975,0.051376,13.64606,0.342793,18.398852,0.385748,14.544327,0.021816,128.09349,0.090738,208.381783,0.827099,13.643889,0.159229,19.282941,0.113258
25.808853,0.732229,45.826046,0.025754,13.789335,0.144011,19.00479,0.400217,14.669326,0.046788,128.240781,0.321032,209.9366,0.969076,13.788895,0.027055,19.436289,0.107727
26.554562,0.475798,46.837284,0.03962,13.962047,0.342785,19.265938,0.153973,14.810505,0.042393,128.831658,0.439281,211.681216,0.785385,14.084698,0.074949,19.564637,0.2219
26.980592,0.521518,46.999243,0.038665,14.224309,0.435199,19.424371,0.140029,14.960543,0.081564,129.09424,0.09033,212.889732,0.759587,14.214911,0.512658,19.894812,0.117662
27.292241,0.702508,48.164637,0.063723,14.400627,0.396902,19.55982,0.466369,15.251009,0.198174,129.257433,0.097164,214.031029,0.715753,14.370625,0.530987,19.995644,0.102274
27.741882,0.4961,48.436293,0.079382,14.534103,0.248024,20.020272,0.384705,15.36966,0.470886,129.420928,0.338708,215.167173,0.683139,14.661728,0.038083,22.349504,0.115523
28.142075,0.47006,48.574643,0.065676,14.659731,0.321612,21.165398,0.211206,15.673892,0.553888,130.013775,0.29888,216.325558,0.796363,14.777602,0.130847,27.15447,0.113297
28.481074,0.682865,49.319572,0.030967,14.809418,0.238046,21.339031,0.461509,16.138357,0.100074,130.267443,0.08184,217.4737,0.612038,15.230499,0.147649,27.55125,0.111274
28.895236,0.519033,50.331757,0.027492,14.956043,0.280695,21.631157,0.290128,16.297512,0.070533,130.43076,0.102606,218.621893,0.747889,15.36684,0.565796,27.740328,0.149603
