Frame,Time,X,Y
0,0,148,116
1,0.04,147.997987,115.999066
2,0.08,147.996703,116.001251
3,0.12,147.999804,115.996781
4,0.16,148.006326,115.987325
5,0.2,147.991945,115.987027
6,0.24,147.980183,115.955754
7,0.28,147.918262,115.956156
8,0.32,147.917574,115.893003
9,0.36,147.868641,115.829411
10,0.4,147.876917,115.528011
11,0.44,147.792645,115.329575
12,0.48,147.72521,114.964172
13,0.52,147.638988,114.841839
14,0.56,147.62532,114.6626
15,0.6,147.541915,114.749796
16,0.64,147.530932,114.803169
17,0.68,147.518583,115.042191
18,0.72,147.431515,115.172332
19,0.76,147.378094,115.371524
20,0.8,147.296777,115.539179
21,0.84,147.111143,115.848916
22,0.88,147.01066,116.058627
23,0.92,146.97216,116.279226
24,0.96,146.95362,116.462982
25,1,146.916041,116.51905
26,1.04,146.875733,116.359362
27,1.08,146.872447,116.254683
28,1.12,146.762635,116.172119
29,1.16,146.662642,116.179082
30,1.2,146.523511,116.114588
31,1.24,146.238071,116.170052
32,1.28,146.125473,116.180835
33,1.32,145.858032,116.221831
34,1.36,145.734773,116.237601
35,1.4,145.444884,116.356543
36,1.44,145.331263,116.335121
37,1.48,145.054881,116.523515
38,1.52,144.681291,116.590013
39,1.56,144.070364,116.711736
40,1.6,143.761078,116.664225
41,1.64,143.388869,116.708232
42,1.68,143.285393,116.681738
43,1.72,143.226106,116.687317
44,1.76,143.258625,116.650254
45,1.8,143.231827,116.66085
46,1.84,143.416448,116.538721
47,1.88,143.468217,116.536332
48,1.92,143.63182,116.516732
49,1.96,143.787998,116.508765
50,2,144.052202,116.465882
51,2.04,144.093295,116.536332
52,2.08,144.233016,116.468671
53,2.12,144.242211,116.468064
54,2.16,144.314965,116.430942
55,2.2,144.270945,116.430338
56,2.24,144.308067,116.39724
57,2.28,144.288634,116.393323
58,2.32,144.320364,116.155245
59,2.36,144.299837,116.16304
60,2.4,144.328104,116.103588
61,2.44,144.354391,116.097967
62,2.48,144.376941,116.066058
63,2.52,144.358125,116.084975
64,2.56,144.59992,115.926008
65,2.6,145.046613,115.887051
66,2.64,145.533959,115.755701
67,2.68,145.914323,115.687217
68,2.72,146.545139,115.585111
69,2.76,147.035339,115.533226
70,2.8,147.580039,115.460223
71,2.84,147.967102,115.494493
72,2.88,148.467976,115.494889
73,2.92,148.676052,115.576773
74,2.96,149.051662,115.610593
75,3,149.098077,115.720805
76,3.04,149.268483,115.771791
77,3.08,149.291267,115.850912
78,3.12,149.446788,115.843637
79,3.16,149.562878,115.926761
80,3.2,149.581879,115.893211
81,3.24,149.635692,115.958214
82,3.28,149.73618,115.927414
83,3.32,149.708542,115.960603
84,3.36,149.722601,115.931553
85,3.4,149.645855,115.95238
86,3.44,149.574945,115.856573
87,3.48,149.473715,115.799606
88,3.52,149.41044,115.710512
89,3.56,149.136102,115.533287
90,3.6,148.985155,115.178311
91,3.64,148.766253,114.793201
92,3.68,148.717414,114.117878
93,3.72,148.673661,113.671579
94,3.76,148.634537,113.09014
95,3.8,148.49964,112.928938
96,3.84,148.542389,112.893192
97,3.88,148.439525,113.155627
98,3.92,148.333441,113.629088
99,3.96,148.04152,114.637238
100,4,147.770327,115.61945
101,4.04,147.391751,116.750787
102,4.08,147.502654,117.589551
103,4.12,147.390475,118.399929
104,4.16,147.485899,118.84059
105,4.2,147.430791,119.093816
106,4.24,147.379692,119.232021
107,4.28,147.219345,119.403281
108,4.32,147.100932,119.48003
109,4.36,146.766689,119.763337
110,4.4,146.394146,120.269791
111,4.44,145.665551,120.888436
112,4.48,145.329742,121.11387
113,4.52,145.060891,121.248157
114,4.56,145.133444,121.183577
115,4.6,145.165424,121.170727
116,4.64,145.181744,121.045057
117,4.68,145.150056,120.91249
118,4.72,144.996221,120.612238
119,4.76,144.886982,120.453388
120,4.8,144.950511,120.384691
121,4.84,144.963606,120.392315
122,4.88,144.856635,120.485466
123,4.92,144.471131,120.933634
124,4.96,143.965687,121.431196
125,5,143.401333,121.923327
126,5.04,143.290688,121.991026
127,5.08,143.409105,121.926986
128,5.12,144.074857,121.788141
129,5.16,144.245873,121.722016
130,5.2,144.277038,121.77332
131,5.24,144.166043,122.097864
132,5.28,144.105815,122.450648
133,5.32,144.021593,122.734645
134,5.36,143.901844,122.870184
135,5.4,143.563153,123.163884
136,5.44,143.242913,123.387641
137,5.48,143.133463,123.563661
138,5.52,143.159655,123.386552
139,5.56,143.176692,123.072062
140,5.6,143.249976,122.516648
141,5.64,143.495752,121.721995
142,5.68,143.950402,120.557538
143,5.72,144.383601,119.370799
144,5.76,145.118699,118.362367
145,5.8,145.837717,117.974461
146,5.84,146.92396,117.806769
