Frame,Time,X,Y
0,0,167,127
1,0.04,166.99274,127.000337
2,0.08,166.917199,127.002648
3,0.12,166.754739,127.013945
4,0.16,166.5198,127.030156
5,0.2,166.1137,127.055505
6,0.24,165.600649,127.073404
7,0.28,165.029608,127.114588
8,0.32,164.409773,127.138056
9,0.36,163.749448,127.193015
10,0.4,163.060263,127.211414
11,0.44,162.38769,127.307328
12,0.48,161.794407,127.312922
13,0.52,161.162425,127.389413
14,0.56,160.765777,127.383571
15,0.6,160.433825,127.45482
16,0.64,159.894331,127.508415
17,0.68,159.547686,127.505835
18,0.72,159.239379,127.584964
19,0.76,158.95038,127.642464
20,0.8,158.492539,127.650862
21,0.84,158.408652,127.709127
22,0.88,158.248955,127.749017
23,0.92,158.132457,127.750979
24,0.96,158.148116,127.769027
25,1,158.155319,127.803937
26,1.04,158.146719,127.8044
27,1.08,158.118098,127.78054
28,1.12,158.242504,127.802332
29,1.16,158.225948,127.801491
30,1.2,158.337557,127.809687
31,1.24,158.544311,127.833859
32,1.28,158.667147,127.892779
33,1.32,158.959362,127.943005
34,1.36,159.190008,127.981468
35,1.4,159.577107,127.973397
36,1.44,159.805583,128.031431
37,1.48,159.998196,128.114209
38,1.52,160.404015,128.13115
39,1.56,160.870704,128.227629
40,1.6,161.441129,128.286803
41,1.64,161.928859,128.353494
42,1.68,162.673845,128.347449
43,1.72,163.592911,128.373475
44,1.76,164.588964,128.384227
45,1.8,165.563072,128.409234
46,1.84,166.607261,128.321978
47,1.88,167.692818,128.32004
48,1.92,168.698795,128.255627
49,1.96,169.643153,128.249923
50,2,170.493465,128.231593
51,2.04,171.38666,128.195254
52,2.08,172.157642,128.065664
53,2.12,172.929187,128.063376
54,2.16,173.567269,127.976389
55,2.2,174.125123,127.964053
56,2.24,174.802517,127.944281
57,2.28,175.354882,127.953888
58,2.32,175.88899,127.905245
59,2.36,176.294248,127.924944
60,2.4,176.698906,127.912587
61,2.44,177.091308,127.977035
62,2.48,177.361559,127.952653
63,2.52,177.63841,127.946989
64,2.56,177.918868,127.92743
65,2.6,178.053759,127.947158
66,2.64,178.266573,127.913029
67,2.68,178.41095,127.906586
68,2.72,178.590161,127.895938
69,2.76,178.703047,127.911998
70,2.8,178.792825,127.883585
71,2.84,178.900082,127.905911
72,2.88,178.877234,127.890807
73,2.92,178.866449,127.906554
74,2.96,178.875796,127.907998
75,3,178.865827,127.924521
76,3.04,178.824982,127.927878
77,3.08,178.684001,127.927748
78,3.12,178.594902,127.911533
79,3.16,178.407158,127.908137
80,3.2,178.229188,127.906473
81,3.24,177.891125,127.910618
82,3.28,177.5591,127.876375
83,3.32,177.106128,127.88109
84,3.36,176.62908,127.84839
85,3.4,175.949657,127.817458
86,3.44,175.074565,127.795029
87,3.48,174.062373,127.76086
88,3.52,172.85696,127.69871
89,3.56,171.588677,127.680259
90,3.6,170.026292,127.616051
91,3.64,168.329837,127.628596
92,3.68,166.640439,127.60518
93,3.72,164.662023,127.668091
94,3.76,162.77132,127.701753
95,3.8,160.79904,127.883902
96,3.84,158.912705,128.000482
97,3.88,157.031223,128.228764
98,3.92,155.218649,128.624281
99,3.96,153.628618,129.022967
100,4,152.153525,129.656372
101,4.04,150.556882,130.388835
102,4.08,149.30851,131.005929
103,4.12,148.349617,131.712305
104,4.16,147.649357,131.910638
105,4.2,146.977879,132.214234
106,4.24,146.450131,132.223306
107,4.28,146.029551,132.242587
108,4.32,145.874422,132.192656
109,4.36,145.692858,132.210727
110,4.4,145.455246,132.117081
111,4.44,145.366872,132.157828
112,4.48,145.301001,132.146027
113,4.52,145.276858,132.176113
114,4.56,145.127631,132.171689
115,4.6,145.093074,132.197592
116,4.64,145.148427,132.220449
117,4.68,145.326326,132.181508
118,4.72,145.54786,132.145494
119,4.76,145.890301,132.182788
120,4.8,146.102515,132.094366
121,4.84,146.386239,132.102042
122,4.88,146.688036,132.040486
123,4.92,146.95344,131.997854
124,4.96,147.215775,131.944718
125,5,147.62685,131.908059
126,5.04,148.052073,131.861554
127,5.08,148.584424,131.805357
128,5.12,148.900126,131.674267
129,5.16,149.428204,131.58143
130,5.2,149.833444,131.497299
131,5.24,150.322645,131.478677
132,5.28,150.682543,131.408131
133,5.32,151.183588,131.396778
134,5.36,151.514991,131.320216
135,5.4,152.097152,131.354472
136,5.44,152.652119,131.269837
137,5.48,152.959112,131.251084
138,5.52,153.383446,131.122482
139,5.56,153.870457,131.099842
140,5.6,154.276546,131.079001
141,5.64,154.723253,131.022381
142,5.68,155.215467,130.92883
143,5.72,155.575113,130.893111
144,5.76,156.042341,130.854189
145,5.8,156.563278,130.870588
146,5.84,156.96192,130.846948
147,5.88,157.532961,130.843756
148,5.92,158.094924,130.80024
149,5.96,158.49891,130.837544
150,6,159.132514,130.779211
151,6.04,159.548036,130.77252
152,6.08,160.068411,130.75433
153,6.12,160.445941,130.763315
154,6.16,160.93563,130.720104
155,6.2,161.369571,130.78323
156,6.24,161.868877,130.735055
157,6.28,162.502,130.679587
158,6.32,163.010418,130.397194
159,6.36,163.495015,130.046764
160,6.4,163.950794,129.466204
161,6.44,164.471062,129.00396
162,6.48,164.945851,128.448198
163,6.52,165.415,128.110718
164,6.56,165.917204,127.76056
165,6.6,166.385157,127.535547
166,6.64,166.915108,127.211626
167,6.68,167.209066,126.982827
168,6.72,167.588511,126.644641
169,6.76,167.901163,126.479449
170,6.8,168.2378,126.209554
